category	file	line	pattern_type	message	code	source_crate
Codegen	crates/check/src/validate.rs	303	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate.rs	358	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate.rs	490	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate.rs	517	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate.rs	862	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	163	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	252	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	339	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	497	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	515	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	530	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	555	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	581	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	614	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	691	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	714	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	796	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	804	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	815	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	893	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	1021	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	1046	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate_semantic_contracts.rs	1169	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/cli/src/kain_launcher.rs	1927	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	cli
Codegen	crates/cli/src/kain_launcher.rs	1928	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	cli
Codegen	crates/cli/src/kain_launcher.rs	1929	DiagnosticCode	CodegenBackendFailed	KAIN-CODEGEN-0004	cli
Codegen	crates/cli/src/kain_launcher.rs	1955	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	cli
Codegen	crates/cli/src/kain_launcher.rs	1956	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	cli
Codegen	crates/cli/src/kain_launcher.rs	1957	DiagnosticCode	CodegenLinkingFailed	KAIN-CODEGEN-0005	cli
Codegen	crates/cli/src/llvm_native_stage.rs	231	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	cli
Codegen	crates/cli/src/llvm_native_stage.rs	232	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	cli
Codegen	crates/cli/src/llvm_native_stage.rs	233	DiagnosticCode	CodegenBackendFailed	KAIN-CODEGEN-0004	cli
Codegen	crates/cli/src/llvm_native_stage.rs	248	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	cli
Codegen	crates/cli/src/llvm_native_stage.rs	249	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	cli
Codegen	crates/cli/src/llvm_native_stage.rs	250	DiagnosticCode	CodegenBackendFailed	KAIN-CODEGEN-0004	cli
Codegen	crates/core/src/effects.rs	108	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	core
Codegen	crates/core/src/low_level_memory.rs	64	DiagnosticBuilder::new	DiagnosticBuilder::new(	KAIN-CODEGEN-XXXX	core
Codegen	crates/core/src/low_level_memory.rs	492	DiagnosticBuilder::new	DiagnosticBuilder::new(	KAIN-CODEGEN-XXXX	core
Codegen	crates/core/src/parser.rs	364	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	core
Codegen	crates/core/src/parser.rs	384	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	core
Codegen	crates/core/src/types.rs	1825	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	core
Codegen	crates/error/src/builder.rs	20	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	24	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	28	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	32	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	36	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	40	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	44	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	48	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	62	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	66	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	70	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	74	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	78	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	82	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	96	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	100	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	104	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	118	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	122	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	126	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	140	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	144	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	148	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	162	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	166	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	170	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	174	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	178	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	182	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	186	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	190	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	194	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	198	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	202	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	206	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	220	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	224	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	228	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	238	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	242	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	242	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	246	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	246	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	250	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	250	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	254	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	254	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	258	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	258	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	262	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	262	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	266	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	266	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	270	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	270	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	274	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	274	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	278	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	278	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	292	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	296	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	300	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	311	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	315	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	319	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	323	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	327	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	331	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	335	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	339	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	349	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	353	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	357	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	361	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	365	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	369	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	373	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	383	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	387	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	391	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	395	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	399	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	403	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	407	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/builder.rs	414	DiagnosticCode	new		error
Codegen	crates/error/src/diagnostic_registry.rs	82	DiagnosticCode	CodegenGeneric	KAIN-CODEGEN-0001	error
Codegen	crates/error/src/diagnostic_registry.rs	82	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	285	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	286	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	361	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	369	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	377	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	385	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	393	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	401	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	402	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	403	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	415	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	416	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	417	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	424	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	429	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	443	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	639	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	653	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	654	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	740	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	749	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	750	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	816	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	839	DiagnosticBuilder::new	DiagnosticBuilder::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/error.rs	857	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/report.rs	704	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/src/report.rs	711	DiagnosticCode	new		error
Codegen	crates/error/src/report.rs	712	DiagnosticCode	new		error
Codegen	crates/error/src/report.rs	713	DiagnosticCode	new		error
Codegen	crates/error/src/spec.rs	94	DiagnosticCode	new		error
Codegen	crates/error/tests/integration.rs	24	DiagnosticCode	new		error
Codegen	crates/error/tests/integration.rs	33	DiagnosticCode	new		error
Codegen	crates/error/tests/integration.rs	67	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/tests/integration.rs	69	DiagnosticCode	new		error
Codegen	crates/error/tests/integration.rs	128	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	error
Codegen	crates/error/tests/integration.rs	130	DiagnosticCode	new		error
Codegen	crates/error/tests/integration.rs	207	DiagnosticCode	new		error
Codegen	crates/gpu/src/codegen_ptx.rs	144	DiagnosticCode	CodegenGeneric	KAIN-CODEGEN-0001	gpu
Codegen	crates/gpu/src/codegen_spirv.rs	771	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	gpu
Codegen	crates/gpu/src/codegen_spirv.rs	1531	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	gpu
Codegen	crates/gpu/src/codegen_spirv.rs	1532	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	gpu
Codegen	crates/gpu/src/codegen_spirv.rs	1533	DiagnosticCode	CodegenUnknownVariable	KAIN-CODEGEN-0002	gpu
Codegen	crates/gpu/src/codegen_spirv.rs	2496	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	gpu
Codegen	crates/gpu/src/codegen_spirv.rs	2497	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	gpu
Codegen	crates/semantic/examples/verify_scratch.rs	73	DiagnosticCode	new		semantic
Codegen	crates/semantic/src/expert.rs	1211	DiagnosticCode	new		semantic
Codegen	crates/semantic/src/expert.rs	1264	DiagnosticCode	new		semantic
Codegen	crates/semantic/src/pack.rs	1172	DiagnosticCode	new		semantic
Codegen	crates/sys-codegen/src/codegen_llvm/mod.rs	819	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	sys-codegen
Codegen	crates/sys-codegen/src/codegen_llvm/mod.rs	820	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	sys-codegen
Codegen	crates/sys-codegen/src/codegen_llvm/mod.rs	821	DiagnosticCode	CodegenGeneric	KAIN-CODEGEN-0001	sys-codegen
Comptime	crates/error/src/diagnostic_registry.rs	91	DiagnosticCode	ComptimeGeneric	KAIN-COMPTIME-0001	error
Comptime	crates/error/src/diagnostic_registry.rs	91	ErrorKind	Comptime	KAIN-COMPTIME-XXXX	error
Comptime	crates/error/src/error.rs	826	ErrorKind	Comptime	KAIN-COMPTIME-XXXX	error
Comptime	crates/error/src/report.rs	701	ErrorKind	Comptime	KAIN-COMPTIME-XXXX	error
Config	crates/error/src/diagnostic_registry.rs	84	DiagnosticCode	ConfigGeneric	KAIN-CONFIG-0001	error
Config	crates/error/src/diagnostic_registry.rs	84	ErrorKind	Config	KAIN-CONFIG-XXXX	error
Config	crates/error/src/error.rs	309	ErrorKind	Config	KAIN-CONFIG-XXXX	error
Config	crates/error/src/error.rs	310	ErrorKind	Config	KAIN-CONFIG-XXXX	error
Config	crates/error/src/error.rs	819	ErrorKind	Config	KAIN-CONFIG-XXXX	error
Config	crates/error/src/report.rs	708	ErrorKind	Config	KAIN-CONFIG-XXXX	error
Converge	crates/check/src/validate_semantic_contracts.rs	556	DiagnosticCode	ConvergeGeneric	KAIN-CONVERGE-0001	check
Converge	crates/check/src/validate_semantic_contracts.rs	582	DiagnosticCode	ConvergeGeneric	KAIN-CONVERGE-0001	check
Converge	crates/error/src/builder.rs	311	ErrorKind	Converge	KAIN-CONVERGE-XXXX	error
Converge	crates/error/src/builder.rs	315	ErrorKind	Converge	KAIN-CONVERGE-XXXX	error
Converge	crates/error/src/builder.rs	319	ErrorKind	Converge	KAIN-CONVERGE-XXXX	error
Converge	crates/error/src/builder.rs	323	ErrorKind	Converge	KAIN-CONVERGE-XXXX	error
Converge	crates/error/src/builder.rs	327	ErrorKind	Converge	KAIN-CONVERGE-XXXX	error
Converge	crates/error/src/builder.rs	331	ErrorKind	Converge	KAIN-CONVERGE-XXXX	error
Converge	crates/error/src/builder.rs	335	ErrorKind	Converge	KAIN-CONVERGE-XXXX	error
Converge	crates/error/src/builder.rs	339	ErrorKind	Converge	KAIN-CONVERGE-XXXX	error
Converge	crates/error/src/diagnostic_registry.rs	96	DiagnosticCode	ConvergeGeneric	KAIN-CONVERGE-0001	error
Converge	crates/error/src/diagnostic_registry.rs	96	ErrorKind	Converge	KAIN-CONVERGE-XXXX	error
Converge	crates/error/src/report.rs	711	ErrorKind	Converge	KAIN-CONVERGE-XXXX	error
Effect	crates/core/src/effects.rs	109	ErrorKind	Effect	KAIN-EFFECT-XXXX	core
Effect	crates/core/src/effects.rs	110	DiagnosticCode	EffectViolation	KAIN-EFFECT-0001	core
Effect	crates/error/src/builder.rs	92	ErrorKind	Effect	KAIN-EFFECT-XXXX	error
Effect	crates/error/src/builder.rs	96	ErrorKind	Effect	KAIN-EFFECT-XXXX	error
Effect	crates/error/src/builder.rs	100	ErrorKind	Effect	KAIN-EFFECT-XXXX	error
Effect	crates/error/src/builder.rs	104	ErrorKind	Effect	KAIN-EFFECT-XXXX	error
Effect	crates/error/src/diagnostic_registry.rs	85	DiagnosticCode	EffectViolation	KAIN-EFFECT-0001	error
Effect	crates/error/src/diagnostic_registry.rs	85	ErrorKind	Effect	KAIN-EFFECT-XXXX	error
Effect	crates/error/src/error.rs	386	ErrorKind	Effect	KAIN-EFFECT-XXXX	error
Effect	crates/error/src/error.rs	387	ErrorKind	Effect	KAIN-EFFECT-XXXX	error
Effect	crates/error/src/error.rs	623	ErrorKind	Effect	KAIN-EFFECT-XXXX	error
Effect	crates/error/src/error.rs	734	ErrorKind	Effect	KAIN-EFFECT-XXXX	error
Effect	crates/error/src/error.rs	820	ErrorKind	Effect	KAIN-EFFECT-XXXX	error
Effect	crates/error/src/report.rs	696	ErrorKind	Effect	KAIN-EFFECT-XXXX	error
