function_name	kain_concept	llvm_ir_pattern	llvm_c_api	status	lines
coerce_pointer_value_to_typed_memory_pointer	collapse/observe (pointer coercion)	bitcast T* to U* / inttoptr i64 to U*	LLVMBuildBitCast, LLVMBuildIntToPtr	mapped	1255-1280
compile_non_ephemeral_typed_memory_pointer	collapse/observe (typed access)	getelementptr T, T* base, i64 offset	LLVMBuildGEP, LLVMBuildBitCast	mapped	1282-1348
compile_ephemeral_storage_i8_pointer	observe (ephemeral optimization)	bitcast T* to i8* / getelementptr inbounds + bitcast to i8*	LLVMBuildBitCast, LLVMBuildGEP	mapped	1350-1448
compile_ephemeral_typed_memory_pointer	observe (ephemeral optimization)	getelementptr T, T* base, i64 offset	LLVMBuildGEP	mapped	1450-1531
scalar_forward_key	observe (forwarded mem)	Metadata key derivation (no IR emitted)	N/A	mapped	1533-1568
forwardable_mem_pointer_key	observe (forwarded mem)	Metadata key derivation (no IR emitted)	N/A	mapped	1570-1609
forwarded_mem_load_slot	observe (forwarded mem load)	Expression analysis (no IR emitted)	N/A	mapped	1611-1629
current_forwarded_mem_load_slot	observe (forwarded mem load)	Scope lookup (no IR emitted)	N/A	mapped	1631-1637
record_forwarded_mem_store	observe (forwarded mem store)	Scope insertion (no IR emitted)	N/A	mapped	1639-1659
clear_current_forwarded_mem_slots	observe (forwarded mem)	Scope clearing (no IR emitted)	N/A	mapped	1661-1665
expr_is_mem_load_surface	observe (mem_load forwarding)	Expression classification (no IR emitted)	N/A	mapped	1667-1678
stmt_preserves_forwarded_mem_slots	observe (mem forwarding)	Statement classification (no IR emitted)	N/A	mapped	1680-1691
scalar_ssa_local_type	type utils (SSA)	Metadata classification (no IR emitted)	N/A	mapped	1693-1695
aggregate_ssa_local_type	type utils (SSA)	Metadata classification (no IR emitted)	N/A	mapped	1697-1712
value_can_lower_as_ssa_local	type utils (SSA)	Metadata classification (no IR emitted)	N/A	mapped	1714-1716
stmts_require_addressable_local	collapse/observe/decay (addressability)	Metadata analysis (no IR emitted)	N/A	mapped	1718-1722
block_requires_addressable_local	collapse/observe/decay (addressability)	Metadata analysis (no IR emitted)	N/A	mapped	1724-1726
else_branch_requires_addressable_local	collapse/observe/decay (addressability)	Metadata analysis (no IR emitted)	N/A	mapped	1728-1740
stmt_requires_addressable_local	collapse/observe/decay (addressability)	Metadata analysis (no IR emitted)	N/A	mapped	1742-1769
expr_requires_addressable_local	collapse/observe/decay (addressability)	Metadata analysis (no IR emitted)	N/A	mapped	1771-1949
current_scope_marks_ephemeral_candidate	observe (ephemeral optimization)	Scope lookup (no IR emitted)	N/A	mapped	1951-1956
current_scope_elides_ephemeral_zero_init	observe (ephemeral optimization)	Scope lookup (no IR emitted)	N/A	mapped	1958-1963
current_known_i64_literals	type utils (literal tracking)	Scope merge (no IR emitted)	N/A	mapped	1965-1973
current_known_nonnegative_i64s	type utils (literal tracking)	Scope merge (no IR emitted)	N/A	mapped	1975-1983
current_known_llvm_types	type utils (type tracking)	Scope merge (no IR emitted)	N/A	mapped	1985-1994
current_scope_marks_fixed_array_candidate	shatter (fixed array)	Scope lookup (no IR emitted)	N/A	mapped	1996-2001
current_scope_marks_stack_shatter_candidate	shatter (stack shatter)	Scope lookup (no IR emitted)	N/A	mapped	2003-2008
current_scope_marks_literal_map_candidate	world/patch (literal map)	Scope lookup (no IR emitted)	N/A	mapped	2010-2015
active_loop_bounds_for	systems (loop analysis)	Scope lookup (no IR emitted)	N/A	mapped	2017-2022
helper_alloc_storage_layout_with_bindings	collapse (alloc)	Expression analysis (no IR emitted)	N/A	mapped	2024-2049
helper_alloc_is_single_cell	collapse (alloc)	Expression analysis (no IR emitted)	N/A	mapped	2051-2056
helper_alloc_scalar_llvm_ty	collapse (alloc)	Type mapping (stride → scalar type)	N/A	mapped	2058-2066
preferred_ephemeral_storage_element_llvm_ty	observe (ephemeral alloc)	Type mapping (declared ptr → scalar LLVM)	N/A	mapped	2068-2086
preferred_ephemeral_storage_element_llvm_ty_for_let	observe (ephemeral alloc)	Type mapping (for let stmt)	N/A	mapped	2088-2099
authored_struct_pointer_llvm_ty	collapse (typed pointer)	Type mapping (authored ptr → %struct*)	N/A	mapped	2101-2110
record_authored_struct_pointer_local	collapse (typed pointer)	Metadata tracking (no IR emitted)	N/A	mapped	2112-2119
record_authored_struct_pointer_local_for_let	collapse (typed pointer)	Metadata tracking (for let stmt)	N/A	mapped	2121-2132
authored_pointer_param_type	collapse (typed pointer)	Metadata lookup (param type)	N/A	mapped	2134-2142
helper_alloc_stack_storage_shape	observe (ephemeral stack alloc)	alloca type shape: [N x T] or [N x i8]	LLVMBuildAlloca	mapped	2144-2168
resolve_i64_literal	type utils (literal folding)	Expression folding (no IR emitted)	N/A	mapped	2170-2199
resolve_zeroed_literal	type utils (literal folding)	Expression folding (no IR emitted)	N/A	mapped	2201-2217
positive_power_of_two_shift	type utils (literal folding)	Constant folding (trailing_zeros)	N/A	mapped	2219-2221
positive_i64_literal	type utils (literal folding)	Expression folding (no IR emitted)	N/A	mapped	2223-2226
expr_is_proven_nonnegative_i64	type utils (range analysis)	Range analysis (no IR emitted)	N/A	mapped	2228-2232
expr_is_proven_nonnegative_i64_with	type utils (range analysis)	Range analysis (no IR emitted)	N/A	mapped	2234-2307
debug_mentions_identifier	debug/forensics	Debug formatting check (no IR emitted)	N/A	mapped	2309-2311
else_branch_has_loop_that_mentions_identifier	debug/forensics	Debug analysis (no IR emitted)	N/A	mapped	2313-2330
expr_has_loop_that_mentions_identifier	debug/forensics	Debug analysis (no IR emitted)	N/A	mapped	2332-2530
stmt_has_loop_that_mentions_identifier	debug/forensics	Debug analysis (no IR emitted)	N/A	mapped	2532-2569
block_has_loop_that_mentions_identifier	debug/forensics	Debug analysis (no IR emitted)	N/A	mapped	2571-2576
expr_is_exact_target_pointer	collapse/observe (pointer identity)	Expression classification (no IR emitted)	N/A	mapped	2578-2587
expr_is_ephemeral_target_address	observe (ephemeral optimization)	Expression classification (no IR emitted)	N/A	mapped	2589-2613
stmt_binds_i64_literal	type utils (literal tracking)	Expression analysis (no IR emitted)	N/A	mapped	2615-2628
stmt_assigned_identifier_name	type utils (literal tracking)	Expression analysis (no IR emitted)	N/A	mapped	2630-2638
collect_expr_assigned_identifier_names	type utils (literal tracking)	Expression traversal (no IR emitted)	N/A	mapped	2640-2866
collect_else_branch_assigned_identifier_names	type utils (literal tracking)	Expression traversal (no IR emitted)	N/A	mapped	2868-2884
collect_block_assigned_identifier_names	type utils (literal tracking)	Expression traversal (no IR emitted)	N/A	mapped	2886-2926
clear_loop_variant_literal_facts	type utils (literal tracking)	Scope mutation (no IR emitted)	N/A	mapped	2928-2944
record_stmt_i64_literal_effects	type utils (literal tracking)	Scope mutation (no IR emitted)	N/A	mapped	2946-2961
record_stmt_literal_map_effects	world/patch (literal map)	Scope mutation (no IR emitted)	N/A	mapped	2963-2995
record_stmt_nonnegative_i64_effects	type utils (range analysis)	Scope mutation (no IR emitted)	N/A	mapped	2997-3027
obvious_llvm_type_byte_width	type utils (byte width)	Type classification (no IR emitted)	LLVMStoreSizeOfType equivalent	mapped	3029-3040
expr_obvious_llvm_ty	type utils (type inference)	Type inference (no IR emitted)	N/A	mapped	3042-3078
stmt_binds_obvious_llvm_ty	type utils (type inference)	Type inference (no IR emitted)	N/A	mapped	3080-3100
expr_is_full_width_initial_store_on_target	collapse (store optimization)	Expression analysis (header only, incomplete)	N/A	mapped	3102-3104
