function_name	kain_concept	llvm_ir_pattern	llvm_c_api	status	lines
compile_tagged_value_payload_copy	tagged value payload extraction	Handle bits → ashr 3 → trunc/sext to target; boxed → GEP to payload + load + align 1 + phi merge	LLVMBuildGEP2, LLVMBuildLoad2, LLVMBuildPhi, LLVMBuildBitCast	mapped	1518-1593
compile_tagged_value_from_compiled_payload	tagged value boxing	Integer: range check (sge/sle, and, br) → immediate shl/or/inttoptr or boxed KAIN_alloc+store; non-integer: always boxed KAIN_alloc	LLVMBuildICmp, LLVMBuildAnd, LLVMBuildPhi, LLVMBuildCall2	mapped	1595-1669
compile_tagged_box_from_payload	tagged heap box allocation	`call i8* @KAIN_alloc(size)` + store tag i64 + store size i64 + memcpy payload via bitcast+load+store	LLVMBuildCall2, LLVMBuildBitCast, LLVMBuildStore	mapped	1671-1737
compile_tagged_box_from_value	tagged value to box	Delegates to compile_tagged_value_from_compiled_payload if size>0; otherwise alloc+tag only	LLVMBuildCall2, LLVMBuildBitCast, LLVMBuildStore	mapped	1739-1797
compile_runtime_mem_load	raw memory load (collapse/observe)	Ephemeral: `load %ty, %ty* %typed_ptr, align N`; fallback: compile_non_ephemeral_typed_memory_pointer + load	LLVMBuildLoad2	mapped	1799-1846
compile_runtime_mem_store	raw memory store (collapse)	Ephemeral: `store %ty %val, %ty* %typed_ptr`; fallback: same via non_ephemeral	LLVMBuildStore	mapped	1848-1906
compile_runtime_volatile_mem_load	volatile MMIO load	`load volatile %ty, %ty* %typed_ptr, align N`	LLVMBuildLoad2	mapped	1908-1950
compile_runtime_volatile_mem_store	volatile MMIO store	`store volatile %ty %val, %ty* %typed_ptr`	LLVMBuildStore	mapped	1952-1993
compile_atomic_i64_pointer	atomic pointer preparation	compile_expr → coerce_to_i64_storage → `inttoptr i64 %val to i64*`	LLVMBuildIntToPtr	mapped	1995-2004
atomic_ordering_code_from_expr	atomic ordering constant	Matches Int/String/Ident → 0=relaxed through 4=seq_cst	none (compile-time eval)	mapped	2006-2028
atomic_ordering_code_from_name	atomic ordering name lookup	String match: relaxed/acquire/release/acq_rel/seq_cst → 0-4	none (compile-time)	mapped	2030-2039
atomic_ordering_name_from_code	atomic ordering reverse lookup	Code 0-4 → string name	none (compile-time)	mapped	2041-2050
validate_atomic_ordering_code	atomic ordering validation	Range check (0..=4), error otherwise	none (compile-time)	mapped	2052-2061
atomic_ordering_strength	atomic ordering strength ordering	0→0, 1→2, 2→3, 3→4, 4→5	none (compile-time)	mapped	2063-2071
validate_atomic_store_ordering	atomic store ordering validation	Relaxed/release/seq_cst only; acquire/acq_rel rejected	none (compile-time)	mapped	2073-2086
validate_atomic_compare_exchange_failure_ordering	atomic CAS ordering validation	Failure ord must not be release/acq_rel, must be ≤ success strength	none (compile-time)	mapped	2088-2117
llvm_atomic_load_ordering	atomic LLVM ordering string	Code→"monotonic"|"acquire"|"seq_cst"	LLVMAtomicOrdering enum	mapped	2119-2125
llvm_atomic_store_ordering	atomic LLVM store ordering	Code→"monotonic"|"release"|"seq_cst"	LLVMAtomicOrdering enum	mapped	2127-2133
llvm_atomic_rmw_ordering	atomic LLVM RMW ordering	Code→"monotonic"|"acquire"|"release"|"acq_rel"|"seq_cst"	LLVMAtomicRMWBinOp + ordering	mapped	2135-2143
llvm_atomic_failure_ordering	atomic LLVM failure ordering	Code→"monotonic"|"acquire"|"seq_cst"	LLVMAtomicOrdering enum	mapped	2145-2151
compile_ordered_atomic_load	atomic ordered load	`load atomic i64, i64* %ptr monotonic/acquire/seq_cst, align 8`	LLVMBuildLoad2 + LLVMAtomicOrdering	mapped	2153-2168
compile_ordered_atomic_store	atomic ordered store	`store atomic i64 %val, i64* %ptr monotonic/release/seq_cst, align 8`	LLVMBuildStore + LLVMAtomicOrdering	mapped	2170-2189
compile_ordered_atomic_rmw	atomic RMW	`%prev = atomicrmw %op i64* %ptr, i64 %val %ordering`	LLVMBuildAtomicRMW	mapped	2191-2209
compile_ordered_atomic_compare_exchange	atomic CAS	`%pair = cmpxchg i64* %ptr, i64 %expected, i64 %desired %succ %fail` + `extractvalue %pair, 1`	LLVMBuildCmpXchg	mapped	2211-2242
compile_ordered_atomic_fence	atomic fence	`fence acquire` / `fence release` / `fence acq_rel` / `fence seq_cst`	LLVMBuildFence	mapped	2244-2258
emit_scaled_byte_offset	pointer arithmetic	`shl i64 %offset, %shift` if power-of-2, else `mul i64 %offset, %stride`	LLVMBuildShl, LLVMBuildMul	mapped	2260-2285
compile_raw_ptr_offset_i64	ptr<T> offset	compile_expr → ptrtoint/inttoptr → getelementptr i8, i8* %base, i64 %offset → ptrtoint to i64	LLVMBuildGEP2, LLVMBuildPtrToInt, LLVMBuildIntToPtr	mapped	2287-2323
compile_ownership_pointer	ownership (collapse/observe)	compile_expr → bitcast to i8*; emit_lazy_import_ownership_region for Imported/Unknown provenance	LLVMBuildBitCast, LLVMBuildIntToPtr	mapped	2325-2347
emit_lazy_import_ownership_region	ownership import guard	`call i32 @__kain_ownership_ensure_imported(i8*)` + `icmp eq i32 %status, 0` + br abort/continue	LLVMBuildCall2, LLVMBuildICmp	mapped	2349-2371
emit_checked_ownership_call	ownership state machine	`call i32 @function_name(i8*)` + `icmp eq i32 %status, 0` + br abort/continue	LLVMBuildCall2, LLVMBuildICmp	mapped	2373-2391
emit_helper_owned_local_decay_cleanup	ownership decay cleanup	`load i8*` → `icmp ne i8* %ptr, null` → `call __kain_ownership_decay_helper`	LLVMBuildLoad2, LLVMBuildICmp, LLVMBuildCall2	mapped	2393-2408
clear_decayed_helper_owned_local	ownership decay nulling	Store null to decayed helper-owned local	LLVMBuildStore	mapped	2410-2424
helper_realloc_source_local_name	ownership realloc tracking	Extracts source name from `__kain_realloc(ident, ...)` call	none (Rust helper)	mapped	2426-2438
invalidate_helper_owned_local_storage	ownership storage invalidation	Store null to helper-owned i8* local	LLVMBuildStore	mapped	2440-2451
collect_helper_owned_pointer_mem_store_transfer_locals	ownership transfer tracking	Recursively collect helper-owned locals in expr	none (Rust helper)	mapped	2453-2472
helper_owned_pointer_mem_store_transfer_locals	ownership transfer wrap	Calls collect, returns HashSet	none (Rust helper)	mapped	2474-2478
mark_helper_owned_pointer_transfers	ownership transfer marking	Remove from helper_owned, insert into borrowed_locals	none (Rust state)	mapped	2480-2486
invalidate_consumed_helper_realloc_source_for_let	ownership let realloc	Invalidate storage of realloc source on let binding	LLVMBuildStore	mapped	2488-2493
invalidate_consumed_helper_realloc_source_for_assignment	ownership assignment realloc	Invalidate storage of realloc source on assignment	LLVMBuildStore	mapped	2495-2507
compile_scoped_ownership_expr	collapse/observe scope	Ephemeral: skip; else: `ownership_begin(ptr)` + body + `ownership_end(ptr)`	LLVMBuildCall2	mapped	2509-2538
compile_decay_expr	decay statement	`__kain_ownership_decay(ptr)` or `__kain_ownership_decay_helper(ptr)` + clear_helper	LLVMBuildCall2	mapped	2540-2557
emit_abort_on_nonzero_i32_status	abort-on-failure guard	`icmp eq i32 %status, 0` → br continue else call abort+unreachable	LLVMBuildICmp, LLVMBuildCall2	mapped	2559-2572
compile_range_iter_bounds	for loop range bounds	Compiles range(start, end) or Expr::Range { start, end, inclusive } → add one for inclusive	LLVMBuildAdd, LLVMBuildICmp	mapped	2574-2628
compile_fanout_worker_function	share/fanout worker	Emitted as `define internal void @worker(i8* %ctx_arg, i64 %index_arg)` with entry label + GEP captures + compile_block	none (standalone function)	mapped	2630-2700
compile_fanout_stmt	share/fanout statement	Captures locals, creates context struct, calls `__kain_fanout_i64(i64 start, i64 end, i8* ctx, void(i8*,i64)* @worker)`	LLVMBuildCall2	mapped	2702-2792
compile_payload_pointer_from_value	value→payload pointer	Entry alloca + store + bitcast to i8*; RC retain for i8* types	LLVMBuildAlloca, LLVMBuildStore, LLVMBuildBitCast	mapped	2794-2827
compile_tagged_payload_copy	tagged value copy	Entry alloca + bitcast to i8* + `call @abi_future_await_payload_copy(i8*, i8*, i64)` + load result	LLVMBuildCall2, LLVMBuildAlloca, LLVMBuildLoad2	mapped	2829-2859
