section	id	function_name	llvm_call	kaintana_target	description	hooks	notes
VTABLE_CONSTANT	10	(global)	OFF_STATE_SET_I64 = 9	slot 9: state_set_i64	Vtable offset for writing i64 component state.	Could record patch journal entry on state mutation.	Called both for initial value and write-back at frame end.
VTABLE_CONSTANT	11	(global)	OFF_BEGIN_FRAME = 10	slot 10: begin_frame	Vtable offset for starting a new frame with delta_ms.	Could hook to snapshot state for diff-based dirty tracking.	Receives the high-res timer delta from __kain_frame_delta_ms().
VTABLE_CONSTANT	12	(global)	OFF_END_FRAME = 11	slot 11: end_frame	Vtable offset for finishing frame rendering.	Could hook to flush batched draw commands.	Must be called before present.
VTABLE_CONSTANT	13	(global)	OFF_PRESENT = 12	slot 12: present	Vtable offset for presenting the rendered frame to screen.	Could hook to capture frame screenshot for testing/oracle.	After end_frame, before should_close check.
VTABLE_CONSTANT	14	(global)	OFF_POLL_EVENT = 13	slot 13: poll_event	Vtable offset for polling input events.	Could hook to auto-fuzz event injection for testing.	NOT currently called in component.rs; declared for future use.
VTABLE_CONSTANT	15	(global)	OFF_SHOULD_CLOSE = 14	slot 14: should_close	Vtable offset for checking if window should close.	Could hook to auto-save state on close.	Returns 0 = keep running, non-zero = close.
VTABLE_CONSTANT	16	(global)	OFF_WINDOW_OPEN = 15	slot 15: window_open	Vtable offset for flagging session as open with title and dimensions.	Could hook to set window icon or initial position.	The OS window is created by native_ui_session_create; this flags it for rendering.
VTABLE_CONSTANT	17	(global)	OFF_HOST_PUMP = 16	slot 16: host_pump	Vtable offset for processing OS message queue (PeekMessage/TranslateMessage/DispatchMessageA on Win32).	Could hook to inject synthetic messages for testing.	Called every frame before begin_frame.
VTABLE_CONSTANT	18	(global)	OFF_SESSION_ATTACH_PLATFORM = 17	slot 17: session_attach_platform	Vtable offset for attaching a platform window handle to the session.	Could hook to validate platform handle before attachment.	Uses zero-initialized 8-byte handle; backends that own their window create it here when hwnd is NULL.
VTABLE_CONSTANT	19	(global)	OFF_GET_GPU_EXTENSION = 18	slot 18: get_gpu_extension	Vtable offset for discovering GPU extension (returns KainGpuSurfaceExtension* or NULL).	Could hook to auto-select GPU backend based on capability query.	Called for all surfaces as part of the unified slot-18 probe in compile_surface_frame_loop. Returns NULL if no GPU support — the component render path is taken.
VTABLE_CONSTANT	20	(global)	OFF_STATE_GET_F64 = 19	slot 19: state_get_f64	Vtable offset for reading f64 component state.	Could emit resonate tripwire on float state read.	Sentinel: NaN (fcmp uno). Distinct from valid float data.
VTABLE_CONSTANT	21	(global)	OFF_STATE_SET_F64 = 20	slot 20: state_set_f64	Vtable offset for writing f64 component state.	Could record patch journal entry on mutation.	Called both for initial value and write-back.
VTABLE_CONSTANT	22	(global)	OFF_STATE_GET_STRING = 21	slot 21: state_get_string	Vtable offset for reading string component state.	Could emit resonate tripwire on string state read.	Sentinel: null pointer (returns "" on not-found per contract, but codegen checks for null).
VTABLE_CONSTANT	23	(global)	OFF_STATE_SET_STRING = 22	slot 22: state_set_string	Vtable offset for writing string component state.	Could record patch journal entry on mutation.	Backend copies the string into its own storage per contract.
VTABLE_CONSTANT	24	(global)	OFF_ELEMENT_SET_CALLBACK = 23	slot 23: element_set_callback	Vtable offset for binding event callback to an element.	Could hook to auto-debounce or throttle rapid events.	Receives event_name (e.g. "click") and callback_fn (void*).
ATTRIBUTE_SET	1	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "padding")	slot 6: element_set_attr_f64	Maps JSX attribute "padding" to f64 vtable slot with style_key "padding".	Could hook to clamp padding to [0, ∞) on the compiler side.	All f64 attrs share same fn_ptr_ty: "void (i64, i64, i8*, double)*".
ATTRIBUTE_SET	2	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "spacing")	slot 6: element_set_attr_f64	Maps JSX attribute "spacing" to f64 vtable slot with style_key "spacing".	Could hook to validate spacing >= 0.	
ATTRIBUTE_SET	3	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "corner_radius")	slot 6: element_set_attr_f64	Maps JSX attribute "corner_radius" to f64 vtable slot.	Could hook to clamp to [0, min(width,height)/2].	
ATTRIBUTE_SET	4	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "radius")	slot 6: element_set_attr_f64	Maps JSX attribute "radius" (shorthand for corner_radius) to f64 vtable slot.	Alias for corner_radius — could emit both or canonicalize.	
ATTRIBUTE_SET	5	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "font_size")	slot 6: element_set_attr_f64	Maps JSX attribute "font_size" to f64 vtable slot.	Could hook to enforce minimum readable font size.	
ATTRIBUTE_SET	6	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "opacity")	slot 6: element_set_attr_f64	Maps JSX attribute "opacity" to f64 vtable slot.	Could auto-clamp to [0.0, 1.0] at codegen time.	
ATTRIBUTE_SET	7	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "border"/"border_width")	slot 6: element_set_attr_f64	Maps JSX attributes "border" and "border_width" to f64 vtable slot with style_key "border_width".	"border" is a shorthand alias; canonicalizes to "border_width".	
ATTRIBUTE_SET	8	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "stroke_width")	slot 6: element_set_attr_f64	Maps JSX attribute "stroke_width" to style_key "border_width".	Stroke width is aliased to border width for vector-style elements.	
ATTRIBUTE_SET	9	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "width")	slot 6: element_set_attr_f64	Maps JSX attribute "width" to f64 vtable slot.	Could hook to enforce minimum width based on content.	
ATTRIBUTE_SET	10	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "height")	slot 6: element_set_attr_f64	Maps JSX attribute "height" to f64 vtable slot.		
ATTRIBUTE_SET	11	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "min")	slot 6: element_set_attr_f64	Maps JSX attribute "min" to f64 vtable slot.	Used for slider/input range minimum.	
ATTRIBUTE_SET	12	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "max")	slot 6: element_set_attr_f64	Maps JSX attribute "max" to f64 vtable slot.	Used for slider/input range maximum.	Could hook to validate min < max.
ATTRIBUTE_SET	13	map_jsx_attr_to_surface_key	element_set_attr_f64 (for "step")	slot 6: element_set_attr_f64	Maps JSX attribute "step" to f64 vtable slot.	Used for slider/input increment.	
ATTRIBUTE_SET	14	map_jsx_attr_to_surface_key	element_set_attr_string (for "background")	slot 7: element_set_attr_string	Maps "background" to string vtable slot with style_key "fill_color".	"background" is a semantic alias for fill_color.	
ATTRIBUTE_SET	15	map_jsx_attr_to_surface_key	element_set_attr_string (for "fill")	slot 7: element_set_attr_string	Maps "fill" to string vtable slot with style_key "fill_color".	"fill" is the more direct alias for fill_color.	
ATTRIBUTE_SET	16	map_jsx_attr_to_surface_key	element_set_attr_string (for "border_color")	slot 7: element_set_attr_string	Maps "border_color" to string vtable slot.		
ATTRIBUTE_SET	17	map_jsx_attr_to_surface_key	element_set_attr_string (for "stroke")	slot 7: element_set_attr_string	Maps "stroke" to string vtable slot with style_key "border_color".	"stroke" is SVG-aligned alias for border_color.	
ATTRIBUTE_SET	18	map_jsx_attr_to_surface_key	element_set_attr_string (for "color"/"ink_color")	slot 7: element_set_attr_string	Maps "color" and "ink_color" to string vtable slot with style_key "ink_color".	"color" is the shorthand; "ink_color" is the semantic canonical name.	
ATTRIBUTE_SET	19	map_jsx_attr_to_surface_key	element_set_attr_string (for "title")	slot 7: element_set_attr_string	Maps "title" to string vtable slot.		
ATTRIBUTE_SET	20	map_jsx_attr_to_surface_key	element_set_attr_string (for "variant")	slot 7: element_set_attr_string	Maps "variant" to string vtable slot (e.g. "primary", "secondary", "danger").	Could hook to validate variant against known theme variants.	
ATTRIBUTE_SET	21	map_jsx_attr_to_surface_key	element_set_attr_string (for "role")	slot 7: element_set_attr_string	Maps "role" to string vtable slot (accessibility role).		
ATTRIBUTE_SET	22	map_jsx_attr_to_surface_key	element_set_attr_string (for "align")	slot 7: element_set_attr_string	Maps "align" to string vtable slot.		
ATTRIBUTE_SET	23	map_jsx_attr_to_surface_key	element_set_attr_string (for "font_family")	slot 7: element_set_attr_string	Maps "font_family" to string vtable slot.		
ATTRIBUTE_SET	24	map_jsx_attr_to_surface_key	element_set_attr_string (for "distribution")	slot 7: element_set_attr_string	Maps "distribution" to string vtable slot with style_key "layout.distribution".	Uses compound key "layout.distribution" for layout engine routing.	
ATTRIBUTE_SET	25	map_jsx_attr_to_surface_key	element_set_attr_string (for "axis")	slot 7: element_set_attr_string	Maps "axis" to string vtable slot.		
ATTRIBUTE_SET	26	map_jsx_attr_to_surface_key	element_set_attr_string (for "placeholder")	slot 7: element_set_attr_string	Maps "placeholder" to string vtable slot (input placeholder text).		
ATTRIBUTE_SET	27	map_jsx_attr_to_surface_key	element_set_attr_string (for "tooltip")	slot 7: element_set_attr_string	Maps "tooltip" to string vtable slot.		
ATTRIBUTE_SET	28	map_jsx_attr_to_surface_key	element_set_attr_i64 (for "direction")	slot 5: element_set_attr_i64	Maps "direction" to i64 vtable slot with style_key "layout.direction".	Uses compound key for layout engine.	Special string→int mapping: "vertical"/"column"→1, "horizontal"/"row"→0.
ATTRIBUTE_SET	29	map_jsx_attr_to_surface_key	element_set_attr_i64 (for "disabled")	slot 5: element_set_attr_i64	Maps "disabled" to i64 vtable slot (boolean as int).	Could auto-set tab_index=-1 when disabled.	
ATTRIBUTE_SET	30	map_jsx_attr_to_surface_key	element_set_attr_i64 (for "checked")	slot 5: element_set_attr_i64	Maps "checked" to i64 vtable slot (checkbox/radio state).		
ATTRIBUTE_SET	31	map_jsx_attr_to_surface_key	element_set_attr_i64 (for "selected")	slot 5: element_set_attr_i64	Maps "selected" to i64 vtable slot (list item selection).		
ATTRIBUTE_SET	32	map_jsx_attr_to_surface_key	element_set_attr_i64 (for "tab_index")	slot 5: element_set_attr_i64	Maps "tab_index" to i64 vtable slot (focus order).		
ATTRIBUTE_SET	33	map_jsx_attr_to_surface_key	element_set_attr_i64 (for "weight")	slot 5: element_set_attr_i64	Maps "weight" to i64 vtable slot (layout weight for flex distribution).		
ATTRIBUTE_SET	34	map_jsx_attr_to_surface_key	element_set_text (for "value" with empty style_key)	slot 4: element_set_text	Maps "value" to direct text set (no style key wrapper).	The "value" attribute bypasses key-based attribute setting and goes directly to element_set_text.	
ATTRIBUTE_SET	35	map_jsx_attr_to_surface_key	element_set_attr_string (fallback)	slot 7: element_set_attr_string	Unknown attributes fall through to string vtable slot with the raw attribute name as the style_key.	Could hook to warn about unrecognized attrs at compile time.	Enables forward compatibility: new backends can interpret any key.
STATE_ACCESS	1	compile_component_state_init	state_get_f64 via emit_vtable_call (OFF_STATE_GET_F64, slot 19)	slot 19: state_get_f64	Reads f64 component state from surface; sentinel NaN means first frame (not yet initialized).	Could emit resonate tripwire on state read.	First-frame detection: fcmp uno against NaN bit pattern.
STATE_ACCESS	2	compile_component_state_init	state_set_f64 via emit_vtable_call_void (OFF_STATE_SET_F64, slot 20)	slot 20: state_set_f64	Writes f64 initial state value on first frame; writes updated state on write-back.	Could record patch journal entry with old→new value delta.	Called with coerced value (i64→f64 via sitofp if needed).
STATE_ACCESS	3	compile_component_state_init	state_get_string via emit_vtable_call (OFF_STATE_GET_STRING, slot 21)	slot 21: state_get_string	Reads string component state from surface; sentinel null means first frame.	Could emit resonate tripwire on string state read.	First-frame detection: icmp eq null.
STATE_ACCESS	4	compile_component_state_init	state_set_string via emit_vtable_call_void (OFF_STATE_SET_STRING, slot 22)	slot 22: state_set_string	Writes string initial state value on first frame; writes updated state on write-back.		
STATE_ACCESS	5	compile_component_state_init	state_get_i64 via emit_vtable_call (OFF_STATE_GET_I64, slot 8)	slot 8: state_get_i64	Reads i64 component state from surface; sentinel -1 means first frame.	Could emit resonate tripwire.	Changed sentinel from 0 to -1 to fix bug where valid state value 0 was treated as first-frame.
STATE_ACCESS	6	compile_component_state_init	state_set_i64 via emit_vtable_call_void (OFF_STATE_SET_I64, slot 9)	slot 9: state_set_i64	Writes i64 initial state value on first frame; writes updated state on write-back.		
STATE_ACCESS	7	compile_component_state_init	alloca (for f64 state addr)	Stack allocation	Allocates stack slot for f64 state field.		Entry alloca (hoisted to function entry).
STATE_ACCESS	8	compile_component_state_init	store double %val, double* %addr	Stack write	Stores PHI-merged value into f64 state alloca after init/load merge.		
STATE_ACCESS	9	compile_component_state_init	alloca (for i8* string state addr)	Stack allocation	Allocates stack slot for string state field (i8* pointer).		
STATE_ACCESS	10	compile_component_state_init	store i8* %val, i8** %addr	Stack write	Stores PHI-merged string pointer into state alloca.		
STATE_ACCESS	11	compile_component_state_init	alloca (for i64 state addr)	Stack allocation	Allocates stack slot for i64 state field.		
STATE_ACCESS	12	compile_component_state_init	store i64 %val, i64* %addr	Stack write	Stores PHI-merged i64 value into state alloca.		
STATE_ACCESS	13	compile_component_state_init	fcmp uno double %v, 0x7FF8000000000000	First-frame sentinel check	Detects NaN sentinel for f64 state (first frame).	fcmp uno returns true if either operand is NaN.	
STATE_ACCESS	14	compile_component_state_init	icmp eq i8* %v, null	First-frame sentinel check	Detects null sentinel for string state (first frame).		
STATE_ACCESS	15	compile_component_state_init	icmp eq i64 %v, -1	First-frame sentinel check	Detects -1 sentinel for i64 state (first frame).		
STATE_ACCESS	16	compile_component_state_init	phi double [%init_val, %init_block], [%stored_val, %pred_block]	PHI merge	Merges initial value (first frame path) with stored value (subsequent frames path) for f64 state.		
STATE_ACCESS	17	compile_component_state_init	phi i8* [%init_val, %init_block], [%stored_val, %pred_block]	PHI merge	Merges initial string pointer with stored string pointer for string state.		
STATE_ACCESS	18	compile_component_state_init	phi i64 [%init_val, %init_block], [%stored_val, %pred_block]	PHI merge	Merges initial i64 value with stored i64 value for i64 state.		
STATE_ACCESS	19	compile_component_state_init	br i1 %is_first, label %init_block, label %load_block	Branch	Branches to init block (first frame) or load block (subsequent frames) based on sentinel check.		
STATE_ACCESS	20	compile_component_state_init	br label %load_block	Unconditional branch	After init block stores the initial value, falls through to load block for PHI merge.		
STATE_ACCESS	21	compile_component_state_init	sitofp i64 %v to double	Type coercion	Coerces i64 initial value to f64 when state type is F64 but initial expression yields i64.		String and i64 states don't need coercion.
STATE_ACCESS	22	compile_component_render (write-back)	load double, double* %addr	State read for write-back	Loads current f64 state value from stack slot at end of render to persist via state_set_f64.	Could auto-mark dirty only if value changed.	
STATE_ACCESS	23	compile_component_render (write-back)	state_set_f64 via emit_vtable_call_void	slot 20: state_set_f64	Writes updated f64 state back to surface at end of render.		
STATE_ACCESS	24	compile_component_render (write-back)	load i8*, i8** %addr	State read for write-back	Loads current string state pointer from stack slot at end of render.		
STATE_ACCESS	25	compile_component_render (write-back)	state_set_string via emit_vtable_call_void	slot 22: state_set_string	Writes updated string state back to surface at end of render.		
STATE_ACCESS	26	compile_component_render (write-back)	load i64, i64* %addr	State read for write-back	Loads current i64 state value from stack slot at end of render.		
STATE_ACCESS	27	compile_component_render (write-back)	state_set_i64 via emit_vtable_call_void	slot 9: state_set_i64	Writes updated i64 state back to surface at end of render.		
ELEMENT_TREE	1	emit_element_begin	element_begin via emit_vtable_call (OFF_ELEMENT_BEGIN, slot 2)	slot 2: element_begin	Creates a new element in the tree: session_id, parent_id, kind string, stable_key. Returns element_id (i64).	Could inject z-index or insertion-order hints.	Element kind is an arbitrary string interpreted by the backend.
ELEMENT_TREE	2	emit_element_begin	compile_static_c_string_literal(kind)	Compiler string pool	Emits the element kind string literal (e.g. "text", "button", "slider") into the static string pool.		
ELEMENT_TREE	3	emit_element_end	element_end via emit_vtable_call_void (OFF_ELEMENT_END, slot 3)	slot 3: element_end	Closes an element: signals end of children and triggers layout/rendering finalization.	Could hook to validate begin/end pairing (stack depth check).	
ELEMENT_TREE	4	compile_jsx_text	element_begin(surface, session, parent, "text", stable_key)	slot 2: element_begin	Creates a "text" element for literal text nodes.		
ELEMENT_TREE	5	compile_jsx_text	element_set_text via emit_vtable_call_void (OFF_ELEMENT_SET_TEXT, slot 4)	slot 4: element_set_text	Sets the text content on the "text" element.		
ELEMENT_TREE	6	compile_jsx_text	element_end(surface, session, el)	slot 3: element_end	Closes the "text" element.		
ELEMENT_TREE	7	compile_jsx_expression	element_begin(surface, session, parent, "text", stable_key)	slot 2: element_begin	Creates a "text" element for expression results.		
ELEMENT_TREE	8	compile_jsx_expression	element_set_text via emit_vtable_call_void	slot 4: element_set_text	Sets the stringified expression result as text content.	Could hook to auto-format numbers/booleans based on locale.	Two paths: direct i8* pass-through or stringify for non-string types.
ELEMENT_TREE	9	compile_jsx_expression	element_end(surface, session, el)	slot 3: element_end	Closes the expression "text" element.		
ELEMENT_TREE	10	compile_jsx_element	element_begin(surface, session, parent, tag, stable_key)	slot 2: element_begin	Creates an element with the specified tag name (e.g. "button", "slider", "window").		
ELEMENT_TREE	11	compile_jsx_element	element_end(surface, session, el)	slot 3: element_end	Closes the element after attributes and children are emitted.		
ELEMENT_TREE	12	compile_jsx_for	element_begin(surface, session, child_parent, kind, stable_key)	slot 2: element_begin	Creates elements for each for-loop iteration; child_parent = parent_reg + idx for unique stable keys.	Could inject item count hint for list virtualization.	child_parent is parent_reg + loop index, encoding iteration position in stable key.
ELEMENT_TREE	13	compile_component_render	element_begin calls (via compile_jsx_to_surface → compile_jsx_element/compile_jsx_text)	slot 2: element_begin	All element creation flows through the JSX tree walk, recursively emitting element_begin/element_end pairs.		
FRAME_LIFECYCLE	1	compile_surface_frame_loop	call %KainComponentSurface* @kain_component_surface_resolve(i8* %name)	kain_component_surface_resolve()	Resolves the named surface backend from the registry at frame loop init.	Could implement surface fallback chain (e.g. try vulkan, then d3d12, then gdi).	Returns NULL if surface not registered.
FRAME_LIFECYCLE	2	compile_surface_frame_loop	icmp eq %KainComponentSurface* %surf, null	Null check	Guards against unregistered surface backends.		Triggers kain_runtime_panic + unreachable on failure.
FRAME_LIFECYCLE	3	compile_surface_frame_loop	br i1 %is_null, label %null_block, label %init_block	Branch	Branches to error or init path based on surface resolution success.		
FRAME_LIFECYCLE	4	compile_surface_frame_loop	call void @kain_runtime_panic(i8* %msg)	kain_runtime_panic()	Fatal error when surface is not registered.	Could emit structured diagnostic with world name and registered surface list.	Followed by unreachable.
FRAME_LIFECYCLE	5	compile_surface_frame_loop	unreachable	LLVM unreachable	Terminates after panic.		
FRAME_LIFECYCLE	6	compile_surface_frame_loop	session_create via emit_vtable_call (OFF_SESSION_CREATE, slot 0)	slot 0: session_create	Creates a rendering session with name, width, height. Returns session_id (negative = error).	Could inject session telemetry key for profiling.	
FRAME_LIFECYCLE	7	compile_surface_frame_loop	icmp slt i64 %session_id, 0	Error check	Checks for session creation failure (negative return).		
FRAME_LIFECYCLE	8	compile_surface_frame_loop	br i1 %session_err, label %fail_label, label %window_init_label	Branch	Branches to error or window init based on session creation success.		
FRAME_LIFECYCLE	9	compile_surface_frame_loop	call void @kain_runtime_panic(i8* %msg)	kain_runtime_panic()	Fatal error on session creation failure.		
FRAME_LIFECYCLE	10	compile_surface_frame_loop	alloca [8 x i8], align 8	Stack allocation	Allocates zero-initialized 8-byte platform handle for session_attach_platform.	Uses KainPlatformSurfaceHandle size (8 bytes on x64).	
FRAME_LIFECYCLE	11	compile_surface_frame_loop	call void @llvm.memset.p0i8.i64(i8* %handle, i8 0, i64 8, i1 false)	LLVM intrinsic	Zero-initializes the platform handle.		llvm.memset intrinsic for efficient zero-fill.
FRAME_LIFECYCLE	12	compile_surface_frame_loop	session_attach_platform via emit_vtable_call_void (OFF_SESSION_ATTACH_PLATFORM, slot 17)	slot 17: session_attach_platform	Attaches the platform window handle to the session.	Could hook to set platform-specific hints (transparency, always-on-top).	Backends that own their window create it here when hwnd is NULL.
FRAME_LIFECYCLE	13	compile_surface_frame_loop	window_open via emit_vtable_call (OFF_WINDOW_OPEN, slot 15)	slot 15: window_open	Flags session as open with title, width, height.	The OS window is created by native_ui_session_create (RegisterClassA + CreateWindowExA).	
FRAME_LIFECYCLE	14	compile_surface_frame_loop	host_pump via emit_vtable_call (OFF_HOST_PUMP, slot 16)	slot 16: host_pump	Processes OS message queue (PeekMessageA/TranslateMessage/DispatchMessageA).	Called every frame to keep window responsive.
FRAME_LIFECYCLE	15	compile_surface_frame_loop	call double @__kain_frame_delta_ms()	__kain_frame_delta_ms()	Gets high-resolution frame delta in milliseconds.	Could hook for frame pacing / adaptive quality.	
FRAME_LIFECYCLE	16	compile_surface_frame_loop	begin_frame via emit_vtable_call_void (OFF_BEGIN_FRAME, slot 10)	slot 10: begin_frame	Signals start of a new frame with delta_ms.		
FRAME_LIFECYCLE	17	compile_surface_frame_loop	call void @ComponentName_render(%KainComponentSurface* %surf, i64 %session, i64 0)	Component render function	Renders the root component, passing surface, session, and root parent (0).	Could hook to measure render time per component.	parent_id=0 is the root parent sentinel.
FRAME_LIFECYCLE	18	compile_surface_frame_loop	end_frame via emit_vtable_call_void (OFF_END_FRAME, slot 11)	slot 11: end_frame	Signals end of frame rendering.		
FRAME_LIFECYCLE	19	compile_surface_frame_loop	present via emit_vtable_call_void (OFF_PRESENT, slot 12)	slot 12: present	Presents the rendered frame to the screen.		
FRAME_LIFECYCLE	20	compile_surface_frame_loop	should_close via emit_vtable_call (OFF_SHOULD_CLOSE, slot 14)	slot 14: should_close	Checks if window should close (0 = keep running).		
FRAME_LIFECYCLE	21	compile_surface_frame_loop	icmp eq i64 %should_close, 0	Comparison	Inverts should_close to keep_going for the loop condition.		
FRAME_LIFECYCLE	22	compile_surface_frame_loop	br i1 %keep_going, label %frame_loop, label %shutdown	Branch	Loops back to frame_loop if running, branches to shutdown if closing.		
FRAME_LIFECYCLE	23	compile_surface_frame_loop	session_destroy via emit_vtable_call_void (OFF_SESSION_DESTROY, slot 1)	slot 1: session_destroy	Destroys the rendering session during shutdown.		
FRAME_LIFECYCLE	24	compile_surface_frame_loop	ret void	Function return	Returns from the frame loop function.		
FRAME_LIFECYCLE	25	compile_surface_frame_loop	(unconditional jump to frame_loop)	br label %frame_loop_label	Unconditional branch into the frame loop from init.		
FRAME_LIFECYCLE	26	compile_surface_frame_loop (pulse registration)	call i64 @kain_machine_pulse_start(i64 %token, i64 %interval_ns, i64 %jitter_ns, void ()* @handler)	kain_machine_pulse_start() in machine_stones.c	Registers component-inline pulse clocks before the frame loop.	Could hook to emit pulse fire telemetry.	Registered once; subsequent frames skip via sentinel state check.
FRAME_LIFECYCLE	27	compile_surface_frame_loop (resonate registration)	call void @abi_resonate_register(i8* %target, i64 %dampen_ns, void ()* @handler)	abi_resonate_register() in stdlib_abi.c or resonate.c	Registers component-inline resonate tripwires before the frame loop.	Could hook to emit resonance graph for debug visualization.	Registered once per component lifetime.
SHADER_SURFACE	1	compile_surface_frame_loop (GPU path)	call %KainComponentSurface* @kain_component_surface_resolve(i8* %surface_kind)	kain_component_surface_resolve()	Resolves the surface backend (parameterized by surface_kind, not hardcoded).	Resolve is shared preamble for both GPU and component paths.
SHADER_SURFACE	2	compile_surface_frame_loop (GPU path)	session_create via emit_vtable_call (world_name, width, height)	slot 0: session_create	Creates GPU rendering session with configurable dimensions from component_dimensions.	Dimensions come from build.kn or component declaration.
SHADER_SURFACE	17	emit_gpu_set_uniform	getelementptr inbounds %KainGpuSurfaceExtension, %KainGpuSurfaceExtension* %ext, i32 0, i32 1	GEP into struct	Gets pointer to set_uniform function pointer slot (offset 1 in KainGpuSurfaceExtension).		
SHADER_SURFACE	18	emit_gpu_set_uniform	bitcast i8** %gep to i64 (i64, i32, i8*, i64)**	Function pointer cast	Casts to set_uniform function-pointer-pointer type.		
