api_name	file	section	formula	parameters	returns	source_framework	proof_file	z3_status	branchless
kt_layout_align_cross_axis_stretch	box_math.c	1.4 Cross-Axis Alignment	child.cross_size=line_cross-margin_cross	align_mode:int,line_cross:float,child_cross:float,margins:{float,float},line_baseline:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_align_cross_axis_flex_start	box_math.c	1.4 Cross-Axis Alignment	child.cross_start=line_cross_start+margin_cross_start	align_mode:int,line_cross:float,child_cross:float,margins:{float,float},line_baseline:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_align_cross_axis_center	box_math.c	1.4 Cross-Axis Alignment	child.cross_start=line_cross_start+(line_cross-child_cross-margin_cross)/2	align_mode:int,line_cross:float,child_cross:float,margins:{float,float},line_baseline:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_align_cross_axis_flex_end	box_math.c	1.4 Cross-Axis Alignment	child.cross_start=line_cross_start+line_cross-child_cross-margin_cross_end	align_mode:int,line_cross:float,child_cross:float,margins:{float,float},line_baseline:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_align_cross_axis_baseline	box_math.c	1.4 Cross-Axis Alignment	child.cross_start=line_baseline-child.baseline	align_mode:int,line_cross:float,child_cross:float,margins:{float,float},line_baseline:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_distribute_lines_cross_stretch	box_math.c	1.4 Cross-Axis Alignment (STRETCH)	extra_per_line=remaining_cross/line_count; each line.crossDim+=extra_per_line	align_content:int,lines:array,container_cross:float	{float,float}[]	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_distribute_lines_cross_flex_start	box_math.c	1.4 Cross-Axis Alignment (FLEX_START)	lines packed at container cross start	align_content:int,lines:array,container_cross:float	{float,float}[]	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_distribute_lines_cross_center	box_math.c	1.4 Cross-Axis Alignment (CENTER)	lines centered	align_content:int,lines:array,container_cross:float	{float,float}[]	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_distribute_lines_cross_flex_end	box_math.c	1.4 Cross-Axis Alignment (FLEX_END)	lines packed at container cross end	align_content:int,lines:array,container_cross:float	{float,float}[]	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_distribute_lines_cross_space_between	box_math.c	1.4 Cross-Axis Alignment (SPACE_BETWEEN)	first at start,last at end,gap=rem/(count-1)	align_content:int,lines:array,container_cross:float	{float,float}[]	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_distribute_lines_cross_space_around	box_math.c	1.4 Cross-Axis Alignment (SPACE_AROUND)	gap=remaining/count (half at edges)	align_content:int,lines:array,container_cross:float	{float,float}[]	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_distribute_lines_cross_space_evenly	box_math.c	1.4 Cross-Axis Alignment (SPACE_EVENLY)	gap=remaining/(count+1)	align_content:int,lines:array,container_cross:float	{float,float}[]	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_collect_flex_lines	box_math.c	1.5 Flex Line Collection	NO_WRAP:all one line; WRAP:if line+child>available_inner flush line then add child	children:array,available_inner_main:float,wrap_mode:int	array	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_line_cross_dim	box_math.c	1.5 Flex Line Collection	line_cross_size=max(child.computed_cross_size+child.margin_cross for child in line)	line_items:array	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_inner_rect_w	box_math.c	1.6 Padding/Border/Box Model	inner_w=outer_w-padding_left-padding_right-border_left-border_right	outer:kt_Rect,padding:float[4],border:float[4]	float	Yoga	box_math_proofs.yaml	UNSAT	yes
kt_layout_inner_rect_h	box_math.c	1.6 Padding/Border/Box Model	inner_h=outer_h-padding_top-padding_bottom-border_top-border_bottom	outer:kt_Rect,padding:float[4],border:float[4]	float	Yoga	box_math_proofs.yaml	UNSAT	yes
kt_layout_resolve_padding	box_math.c	1.6 Padding/Border/Box Model	if h defined: pad.L=pad.h; pad.R=pad.h; if v defined: pad.T=pad.v; pad.B=pad.v; individual overrides	shorthand:{7 floats}	float[4]	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_resolve_edges	box_math.c	1.6 Padding/Border/Box Model	L=resolve(LEFT)or(HORIZONTAL)or(ALL)or0; same for T,R,B	raw_edge_values:struct	float[4]	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_desired_size_stretch_fit	box_math.c	1.7 Sizing Mode Resolution	measured_size=available_size	mode:int,available_size:float,intrinsic_size:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_desired_size_max_content	box_math.c	1.7 Sizing Mode Resolution	measured_size=intrinsic_size(node)	mode:int,available_size:float,intrinsic_size:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_desired_size_fit_content	box_math.c	1.7 Sizing Mode Resolution	measured_ideal=intrinsic_size(node); measured_size=min(measured_ideal,available_size)	mode:int,available_size:float,intrinsic_size:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_constrain_max_for_mode	box_math.c	1.7 Sizing Mode Resolution	STRETCH:min(size,maxSize); MAX:if size<minSize size=minSize; FIT:if size>maxSize size=maxSize,mode=STRETCH	mode:int*,size:float*,min/max:{float,bool}	void	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_cache_hit	box_math.c	1.8 Yoga CachedMeasurement	hit=slot.valid AND slot.availableWidth==aw AND slot.availableHeight==ah AND slot.generation==currentGen	slot:struct,available:{float,float},current_gen:uint32	bool	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_cache_update	box_math.c	1.8 Yoga CachedMeasurement	slot.valid=true; slot.generation=currentGen; slot.availableWidth=aw; slot.availableHeight=ah; slot.measuredWidth=mw; slot.measuredHeight=mh	slot:KaintanaLayoutCache*,available:{float,float},measured:{float,float},current_gen:uint32	void	Yoga	box_math_proofs.yaml	UNSAT	yes
kt_layout_proposal_response	box_math.c	1.9 Intrinsic Sizing	proposal_i=mappingNaN((available-sum(proposal_j for j<i))/remainingCount,to:available)	available:float,remaining_count:int,child_desired:float	{float,float}	OpenSwiftUI	box_math_proofs.yaml	UNSAT	no
kt_layout_content_size_leaf	box_math.c	1.9 Intrinsic Sizing	intrinsic=measureContent(node)	is_leaf:bool,children_measured:array,padding:float[2]	kt_Vec2	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_content_size_container	box_math.c	1.9 Intrinsic Sizing	intrinsic_width=max_children_measured_width+padding_horizontal; intrinsic_height=sum_children_measured_heights+padding_vertical	is_leaf:bool,children_measured:array,padding:float[2]	kt_Vec2	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_resolve_percentage	box_math.c	1.1 Flex-Basis Resolution	resolved=unit==PERCENT?value/100.0*parentDim:unit==POINT?value:YGUndefined; if parentDim==YGUndefined and unit==PERCENT: resolved=YGUndefined	value:float,parent_dim:float,unit:int	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_auto_min_main_size	box_math.c	1.1 Flex-Basis Resolution	autoMin=min(contentSize,specifiedSize); if aspectRatio: autoMin=min(autoMin,crossMin*aspectRatio)	node:int32_t,flex_basis:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_draw_fill_rect	draw_pixels.c	2.1 Fill Operations	memcpy dual-pixel fill: uint64_t pair; 2 pixels/iteration via memcpy(&fb[base+x0+i],&pair,8)	fb:uint32_t*,rect:kt_Rect,color:uint32_t,stride:int	void	ImGui,Clay	kt-dual-pixel-fill-proof.smt2	UNSAT	yes
kt_draw_fill_rect_odd_tail	draw_pixels.c	2.1 Fill Operations	if i<w: fb[base+x0+i]=color (single pixel tail for odd widths)	fb:uint32_t*,rect:kt_Rect,color:uint32_t,stride:int	void	ImGui,Clay	kt-dual-pixel-fill-proof.smt2	UNSAT	yes
kt_draw_fill_rounded_rect_sdf	draw_pixels.c	2.1 Fill Operations	len=hypot(max(q.x,0),max(q.y,0)); sdf=len+min(max(q.x,q.y),0)-radius	p:kt_Vec2,r:kt_Rect,radius:float	float	Clay	kt-fill-rounded-rect-proof.smt2	UNSAT	yes
kt_draw_fill_rounded_rect_cov	draw_pixels.c	2.1 Fill Operations	d=kt_sdf_rounded_rect(pixel,rect,radius); coverage=fmaxf(0,fminf(1,0.5f-d))	fb:uint32_t*,rect:kt_Rect,radius:float,color:uint32_t	void	Clay	kt-sdf-coverage-proof.smt2	UNSAT	yes
kt_draw_stroke_rect	draw_pixels.c	2.1 Fill Operations	inner=(r.x+t,r.y+t,r.w-2t,r.h-2t); outer=(r.x,r.y,r.w,r.h); fill outer then erase inner (or 4 edge rects)	fb:uint32_t*,rect:kt_Rect,thickness:float,color:uint32_t	void	ImGui,Clay		UNKNOWN	no
kt_draw_fill_circle_bb	draw_pixels.c	2.1 Fill Operations	bb=(c.x-r-0.5,c.y-r-0.5,2r+1,2r+1); for py in bb: for px in bb:	fb:uint32_t*,center:kt_Vec2,radius:float,color:uint32_t,stride:int	void	ImGui,Clay	kt-fill-circle-proof.smt2	UNSAT	yes
kt_draw_fill_circle_int_ext	draw_pixels.c	2.1 Fill Operations	dist_sq<=r_int_sq: fully inside (no sqrt); dist_sq>=r_ext_sq: fully outside (no sqrt)	dist_sq:float	float	ImGui,Clay	kt-fill-circle-proof.smt2	UNSAT	yes
kt_draw_fill_circle_edge	draw_pixels.c	2.1 Fill Operations	dist=sqrtf(dist_sq)-r; coverage=fmaxf(0,fminf(1,0.5f-dist))	dist_sq:float,r:float	float	ImGui,Clay	kt-fill-circle-proof.smt2	UNSAT	yes
kt_draw_stroke_circle	draw_pixels.c	2.1 Fill Operations	d_ring=fabsf(d-radius); sdf_stroke=d_ring-thickness*0.5f; coverage=fmaxf(0,fminf(1,0.5f-sdf_stroke))	fb:uint32_t*,center:kt_Vec2,radius:float,thickness:float,color:uint32_t	void	ImGui,Clay	kt-fill-circle-proof.smt2	UNSAT	yes
kt_draw_gradient_seg_lookup	draw_pixels.c	2.2 Gradient Operations	seg_t=((px-seg.x_min)*256)/seg.dx (8.8 fixed-point)	px:int,seg:{x_min:int,x_max:int}	int	Vello	kt-gradient-interp-proof.smt2	UNSAT	yes
kt_draw_gradient_lerp	draw_pixels.c	2.2 Gradient Operations	out=a+(b-a)*t_256/256; lerp_u8(a,b,t_256)=((a*(256-t_256)+b*t_256+128)>>8)	a:uint8_t,b:uint8_t,t_256:int	uint8_t	Vello	kt-color-lerp-proof.smt2	UNSAT	yes
kt_draw_gradient_rect	draw_pixels.c	2.2 Gradient Operations	pre-compute segment boundaries as integer thresholds; per-pixel O(log N) binary search or O(1) for n<=4	fb:uint32_t*,rect:kt_Rect,stops:array,n_stops:int,direction:int	void	Vello,ImGui	kt-gradient-interp-proof.smt2	UNSAT	yes
kt_blend_srcover_f	draw_pixels.c	2.3 Blend Operations	out=src+dst*(1.0-src.a) (premultiplied float)	src:kt_Color,dst:kt_Color	kt_Color	Vello,ImGui	kt-blend-srcover-proof.smt2	UNSAT	yes
kt_blend_srcover_u32	draw_pixels.c	2.3 Blend Operations	out_a=sa+DIV255(da*inv_sa); out_r=sr+DIV255(dr*inv_sa); out_g=sg+DIV255(dg*inv_sa); out_b=sb+DIV255(db*inv_sa)	src:uint32_t,dst:uint32_t	uint32_t	Vello,ImGui	kt-blend-div255.smt2	UNSAT	yes
DIV255	draw_pixels.c	2.3 Blend Operations	DIV255(x)=((x)+1+((x)>>8))>>8	x:int	int	KUIF	kt-div255-proof.smt2	UNSAT	yes
kt_draw_glyph_quad	draw_pixels.c	2.4 Text/Glyph Quad Emission	x0=pen_x+glyph.xoff; y0=pen_y+glyph.yoff; x1=pen_x+glyph.xoff2; y1=pen_y+glyph.yoff2	pen:kt_Vec2,glyph:struct,atlas_dim:{float,float},pixel_snap:bool,quad_out:KaintanaDrawVert[4]*	kt_Vec2	ImGui,stb_truetype		UNKNOWN	no
kt_draw_glyph_quad_snap	draw_pixels.c	2.4 Text/Glyph Quad Emission	if pixel_snap: x0=floor(x0+0.5); y0=floor(y0+0.5); x1=x0+(glyph.xoff2-glyph.xoff); y1=y0+(glyph.yoff2-glyph.yoff)	pen:kt_Vec2,glyph:struct,pixel_snap:bool	{float,float,float,float}	ImGui,stb_truetype		UNKNOWN	yes
kt_draw_clip_glyph_uv	draw_pixels.c	2.4 Text/Glyph Quad Emission	if x0<clip_x: u0=u0+(1-(x1-clip_x)/(x1-x0))*(u1-u0), x0=clip_x; same for y/v	quad:{kt_Rect,4 floats}*,clip:kt_Rect	void	ImGui		UNKNOWN	no
kt_draw_push_clip	draw_pixels.c	2.5 Clip and Transform Stacks	current_clip=kt_clip_intersect(current_clip,rect); clip_stack[depth++]=old	session:KaintanaSession*,rect:kt_Rect	kt_Rect	ImGui,Clay,Vello	kt-clip-intersect-proof.smt2	UNSAT	yes
kt_draw_pop_clip	draw_pixels.c	2.5 Clip and Transform Stacks	current_clip=clip_stack[--depth]	session:KaintanaSession*	void	ImGui,Clay,Vello	kt-clip-intersect-proof.smt2	UNSAT	yes
kt_draw_push_transform	draw_pixels.c	2.5 Clip and Transform Stacks	compose via 6 FMAs: m[0]=fmaf(a11,b11,a12*b21); m[1]=fmaf(a11,b12,a12*b22); m[2]=fmaf(a21,b11,a22*b21); m[3]=fmaf(a21,b12,a22*b22); m[4]=fmaf(a11,b.m[4],fmaf(a12,b.m[5],a.m[4])); m[5]=fmaf(a21,b.m[4],fmaf(a22,b.m[5],a.m[5]))	t:kt_Matrix	void	Vello,ImGui	kt-transform-compose-proof.smt2	UNSAT	yes
kt_draw_pop_transform	draw_pixels.c	2.5 Clip and Transform Stacks	current=transform_stack[--depth]	session:KaintanaSession*	void	Vello,ImGui	kt-transform-compose-proof.smt2	UNSAT	yes
kt_mat_xfrm	draw_pixels.c	2.5 Clip and Transform Stacks	return (fmaf(m[0],p.x,m[2]*p.y+m[4]), fmaf(m[1],p.x,m[3]*p.y+m[5]))	m:kt_Matrix,p:kt_Vec2	kt_Vec2	Vello,ImGui	kt-transform-compose-proof.smt2	UNSAT	yes
kt_draw_batch_reserve	draw_pixels.c	2.6 Write-Pointer and Draw Batch	if count+count>cap: new_cap=cap+cap/2; if new_cap<count+count: new_cap=count+count; realloc	batch:KaintanaDrawBatch*,count:int	void	ImGui		UNKNOWN	no
kt_draw_try_merge	draw_pixels.c	2.6 Write-Pointer and Draw Batch	if prev.clip==curr.clip AND prev.texture==curr.texture AND prev.vtx_offset==curr.vtx_offset AND prev.idx_offset+prev.elem_count==curr.idx_offset: prev.elem_count+=curr.elem_count; pop_back	batch:KaintanaDrawBatch*	bool	ImGui		UNKNOWN	no
kt_draw_arc_points	draw_pixels.c	2.7 Arc and Circle Generation	theta=th0+(th1-th0)*i/(N-1); points[i]=center+radius*(cos(theta),sin(theta))	center:kt_Vec2,radius:float,th0:float,th1:float,N:int,points_out:kt_Vec2[N]*	void	Clay,Vello		UNKNOWN	no
kt_draw_cubic_segment_count	draw_pixels.c	2.7 Arc and Circle Generation	poly=dist(p0,p1)+dist(p1,p2)+dist(p2,p3); chord=dist(p0,p3); dev=poly-chord; n_frac=sqrt(dev/(tol*tol)); n=ceil(clamp(n_frac,1,100))	p0,p1,p2,p3:kt_Vec2,tolerance:float	int	Vello		UNKNOWN	no
kt_draw_emit_vertex	draw_pixels.c	2.8 Vertex Packing	KaintanaDrawVert: pos(8B)+uv(8B)+color(4B)=20B; quad=4 verts+6 indices (0,1,2,2,3,0)	x:float,y:float,u:float,v:float,color:uint32_t	KaintanaDrawVert	ImGui		UNKNOWN	no
kt_damage_mark_node_dirty	damage.c	3.1 Dirty Flag Propagation	reason|=cascade[reason]; walk root: node.invalidation_reasons|=reason; push_to_heap; idx=node.parent	session:KaintanaSession*,node_index:int32_t,reason:uint16_t	void	Slate	damage_proofs.yaml	UNSAT	no
kt_damage_cascade_reason	damage.c	3.1 Dirty Flag Propagation	cascade[LAYOUT]=PREPASS|PAINT; cascade[VOLATILITY]=PAINT; cascade[CHILD_ORDER]=PREPASS|LAYOUT; cascade[PREPASS]=LAYOUT|PAINT; cascade[VISIBILITY]=PREPASS|LAYOUT; cascade[PAINT]=0	reason:uint16_t	uint16_t	Slate	damage_proofs.yaml	UNSAT	no
kt_damage_heap_push	damage.c	3.2 Three-Phase Pipeline	if !node.flag_in_heap: node.flag_in_heap=true; if heap.count>=heap.capacity: heap.capacity*=2; heap.indices[heap.count++]=node_index	heap:KaintanaPhaseHeap*,node_index:int32_t,heap_flag:uint8_t*	void	Slate	damage_proofs.yaml	UNSAT	no
kt_damage_process	damage.c	3.2 Three-Phase Pipeline	Phase1:process_structural; Phase2:sort_by_depth_desc+compute_desired; Phase3:sort_dedup+arrange; clear all heaps	session:KaintanaSession*	bool	Slate	damage_proofs.yaml	UNSAT	no
kt_damage_rect_union	damage.c	3.3 Damage Rect Accumulation	x_out=min(a.x,b.x); y_out=min(a.y,b.y); r_out=max(a.x+a.w,b.x+b.w); b_out=max(a.y+a.h,b.y+b.h); w_out=r_out-x_out; h_out=b_out-y_out	a:kt_Rect,b:kt_Rect	kt_Rect	Clay,KUIF	kt-damage-union-branchless.smt2	UNSAT	yes
kt_damage_rect_intersect	damage.c	3.3 Damage Rect Accumulation	x_i=max(a.x,b.x); y_i=max(a.y,b.y); r_i=min(a.x+a.w,b.x+b.w); b_i=min(a.y+a.h,b.y+b.h); if r_i<=x_i or b_i<=y_i: empty; else (x_i,y_i,r_i-x_i,b_i-y_i)	a:kt_Rect,b:kt_Rect	kt_Rect	Universal	kt-damage-union-branchless.smt2	UNSAT	yes
kt_damage_add_rect	damage.c	3.3 Damage Rect Accumulation	if count<64: try merge if union_area/sum_area<1.5 else add new; else: find closest pair, merge, insert new	rects:kt_Rect[],new_rect:kt_Rect,screen_dim:kt_Vec2	void	Clay,KUIF	kt-damage-union-branchless.smt2	UNSAT	no
kt_damage_should_merge	damage.c	3.3 Damage Rect Accumulation	overlap_area=intersect_area(E,R); union_area=area(rect_union(E,R)); sum_area=area(E)+area(R); return union_area/sum_area<1.5	existing:kt_Rect,new_rect:kt_Rect	bool	Clay	damage_proofs.yaml	UNSAT	no
kt_damage_should_sleep	damage.c	3.4 Lazy Sleep	should_sleep=is_clean AND event_queue.count==0 AND NOT has_active_pulses AND host_should_sleep()	session:KaintanaSession*	bool	Slate	damage_proofs.yaml	UNSAT	no
kt_color_from_u32	kaintana.h	4.1 Color Representations	r=((col>>16)&0xFF)/255.0f; g=((col>>8)&0xFF)/255.0f; b=(col&0xFF)/255.0f; a=((col>>24)&0xFF)/255.0f	col:uint32_t	kt_Color	ImGui		UNSAT	yes
kt_color_to_u32	kaintana.h	4.1 Color Representations	r=(uint8_t)(clamp(c.r,0,1)*255+0.5); g=(uint8_t)(clamp(c.g,0,1)*255+0.5); b=(uint8_t)(clamp(c.b,0,1)*255+0.5); a=(uint8_t)(clamp(c.a,0,1)*255+0.5); return (a<<24)|(r<<16)|(g<<8)|b	c:kt_Color	uint32_t	ImGui	kt-color-lerp.smt2	UNSAT	yes
kt_color_parse_hex	kaintana.h	4.1 Color Representations	#RGB:hex(s[1])*17; #RRGGBB:hex(s[1..2]); #RRGGBBAA:+alpha; named color lookup; rgb()/rgba() functions	hex:const char*	uint32_t	ImGui,KUIF	kt-color-hex-nibble.smt2	UNSAT	yes
kt_color_premultiply_f	kaintana.h	4.1 Color Representations	premultiplied=(c.r*c.a, c.g*c.a, c.b*c.a, c.a)	c:kt_Color	kt_Color	Vello	kt-color-premultiply-proof.smt2	UNSAT	yes
kt_color_premultiply_u8	kaintana.h	4.1 Color Representations	div=(1+(a>>8)); out_a=(a*opacity+div)>>8; out_r=(r*opacity+div)>>8; out_g=(g*opacity+div)>>8; out_b=(b*opacity+div)>>8	argb:uint32_t	uint32_t	Vello	kt-color-premultiply-proof.smt2	UNSAT	yes
kt_color_unpremultiply	kaintana.h	4.1 Color Representations	inv_a=(a>1e-15)?1.0/a:0.0; return (c.r*inv_a,c.g*inv_a,c.b*inv_a,c.a)	c:kt_Color	kt_Color	Vello	kt-color-premultiply-proof.smt2	UNSAT	yes
kt_color_lerp	kaintana.h	4.2 Color Interpolation	out=a+(b-a)*t (per channel, sRGB)	a:kt_Color,b:kt_Color,t:float	kt_Color	ImGui,Vello	kt-color-lerp.smt2	UNSAT	yes
kt_color_gradient_sample	draw_pixels.c	4.2 Color Interpolation	find segment containing x; t=(x-stops[i].pos)/(stops[i+1].pos-stops[i].pos); return lerp(stops[i].color,stops[i+1].color,t)	stops:array,n_stops:int,x:float	uint32_t	Vello,ImGui	kt-color-lerp.smt2	UNSAT	no
kt_color_srgb_to_linear	kaintana.h	4.3 sRGB-Linear Conversion	c<=0.04045f?c/12.92f:powf((c+0.055)/1.055,2.4)	c:float	float	egui		UNKNOWN	no
kt_color_linear_to_srgb	kaintana.h	4.3 sRGB-Linear Conversion	c<=0.0031308f?c*12.92f:1.055*powf(c,1.0/2.4)-0.055	c:float	float	egui		UNKNOWN	no
kt_blend_compose_srcover	kaintana.h	4.4 Porter-Duff Compositing	out=cs+cb*(1-as) (SRC_OVER fast path)	cs:kt_Color,as:float,cb:kt_Color,ab:float	kt_Color	Vello	kt-blend-srcover-proof.smt2	UNSAT	yes
kt_blend_compose_general	kaintana.h	4.4 Porter-Duff Compositing	out_r=as*fa*cs.r+ab*fb*cb.r; out_a=as*fa+ab*fb (general Porter-Duff)	cs:kt_Color,as:float,cb:kt_Color,ab:float,mode:int	kt_Color	Vello	kt-blend-srcover-proof.smt2	UNSAT	yes
kt_blend_mix_normal	kaintana.h	4.4 Porter-Duff Compositing	out=cs	cb:kt_Color,cs:kt_Color,mode:int	kt_Color	Vello		UNKNOWN	no
kt_blend_mix_multiply	kaintana.h	4.4 Porter-Duff Compositing	out=cb*cs	cb:kt_Color,cs:kt_Color,mode:int	kt_Color	Vello		UNKNOWN	no
kt_blend_mix_screen	kaintana.h	4.4 Porter-Duff Compositing	out=cb+cs-cb*cs	cb:kt_Color,cs:kt_Color,mode:int	kt_Color	Vello		UNKNOWN	no
kt_blend_mix_darken	kaintana.h	4.4 Porter-Duff Compositing	out=min(cb,cs)	cb:kt_Color,cs:kt_Color,mode:int	kt_Color	Vello		UNKNOWN	no
kt_blend_mix_lighten	kaintana.h	4.4 Porter-Duff Compositing	out=max(cb,cs)	cb:kt_Color,cs:kt_Color,mode:int	kt_Color	Vello		UNKNOWN	no
kt_blend_mix_difference	kaintana.h	4.4 Porter-Duff Compositing	out=abs(cb-cs)	cb:kt_Color,cs:kt_Color,mode:int	kt_Color	Vello		UNKNOWN	no
kt_blend_mix_exclusion	kaintana.h	4.4 Porter-Duff Compositing	out=cb+cs-2*cb*cs	cb:kt_Color,cs:kt_Color,mode:int	kt_Color	Vello		UNKNOWN	no
kt_color_luminance	kaintana.h	4.5 Luminance Functions	lum=fmaf(0.299,c.r,fmaf(0.587,c.g,0.114*c.b))	c:kt_Color	float	Vello	kt-color-luminance-proof.smt2	UNSAT	yes
kt_luminance_u8	kaintana.h	4.5 Luminance Functions	lum=(R*77+G*150+B*29+128)>>8	rgb:uint32_t	uint8_t	Vello	kt-color-luminance-proof.smt2	UNSAT	yes
kt_color_saturation	kaintana.h	4.5 Luminance Functions	sat=max(c.r,c.g,c.b)-min(c.r,c.g,c.b)	c:kt_Color	float	Vello	kt-color-luminance-proof.smt2	UNSAT	yes
kt_saturation_u8	kaintana.h	4.5 Luminance Functions	sat=mx-mn where mx/mn are branchless byte min/max	rgb:uint32_t	uint8_t	Vello	kt-color-luminance-proof.smt2	UNSAT	yes
kt_apply_opacity	kaintana.h	4.6 Opacity Stacking	out=(c.r*opacity, c.g*opacity, c.b*opacity, c.a*opacity)	c:kt_Color,opacity:float	kt_Color	Vello,Slate	kt-opacity-stack-proof.smt2	UNSAT	yes
kt_apply_opacity_u32	kaintana.h	4.6 Opacity Stacking	div=(1+(opacity_255>>8)); out_a=(a*opacity_255+div)>>8; same for R,G,B	color:uint32_t,opacity_255:uint8_t	uint32_t	Vello,Slate	kt-opacity-stack-proof.smt2	UNSAT	yes
kt_hit_contains_point_int	hit_test.c	5.1 Spatial Queries	((uint32_t)(px-r.x)<(uint32_t)r.w) & ((uint32_t)(py-r.y)<(uint32_t)r.h)	r:kt_Rect,px:float,py:float	bool	OpenSwiftUI,Clay	kt-point-in-rect-branchless.smt2	UNSAT	yes
kt_hit_contains_point_sse	hit_test.c	5.1 Spatial Queries	__m128 cmp1=_mm_cmpge_ps(coord,min); cmp2=_mm_cmple_ps(coord,max); return (_mm_movemask_ps(_mm_and_ps(cmp1,cmp2))&0x5)==0x5	r:kt_Rect,px:float,py:float	bool	OpenSwiftUI,Clay	kt-point-in-rect-branchless.smt2	UNSAT	yes
kt_hit_rect_overlaps	hit_test.c	5.1 Spatial Queries	(a.x<b.x+b.w) AND (a.x+a.w>b.x) AND (a.y<b.y+b.h) AND (a.y+a.h>b.y)	a:kt_Rect,b:kt_Rect	bool	OpenSwiftUI,ImGui		UNSAT	yes
