code	title	severity	category	summary	example_bad	example_good	spec
KAIN-PARSE-0001-ORCH4	Unknown orchestrate policy	error	parser/general	Unknown orchestrate policy; expected static, telemetry_prefer_gpu, telemetry_prefer_cpu, or telemetry_balance_latency			no
KAIN-PARSE-0001-PRIMARY	Struct literal syntax rejected	error	parser/general	Struct literal syntax is not supported in KAIN. Use field-by-field assignment instead	let obj = Point { x: 1, y: 2 }	let obj = Point(); obj.x = 1; obj.y = 2	no
KAIN-PARSE-0001-PRIMARY2	Unclosed brace in f-string	error	parser/general	Unclosed '{' in f-string	"f""hello {name"""	"f""hello {name}"""	no
KAIN-PARSE-0001-PRIMARY3	Spawn requires named arguments	error	parser/general	Spawn requires named arguments	spawn(actor)	spawn(target: actor)	no
KAIN-PARSE-0001-UNARY	Send requires named arguments	error	parser/general	Send requires named arguments	send(actor.msg)	send(target: actor, msg: greet())	no
KAIN-PARSE-0001-UNARY2	Expected message call after send	error	parser/general	Expected message call after send	send target: actor	send target: actor, msg: greet()	no
KAIN-PARSE-0001-UNARY3	Unknown scoped ownership keyword	error	parser/general	Unknown scoped ownership keyword	collapse x { ... } with unknown	collapse x: observe { ... }	no
KAIN-PARSE-0001-INCDEC	No ++ or -- in Kain	error	parser/general	++ and -- are not valid operators in Kain. Use x += 1 or x -= 1	x++	x += 1	no
KAIN-PARSE-0001-JSX	Expected attribute value	error	parser/general	Expected attribute value	<box width=>	<box width=100>	no
KAIN-PARSE-0001-JSX2	JSX element name must be uppercase	error	parser/general	JSX element name must start with an uppercase letter	<box/>	<Box/>	no
KAIN-PARSE-0001-JSX3	Expected closing tag	error	parser/general	Expected closing tag for <Name>	<Box>...	<Box>...</Box>	no
KAIN-PARSE-0001-JSX4	Expected JSX tag name	error	parser/general	Expected JSX tag name	< />	<Box/>	no
KAIN-PARSE-0001-JSX5	Expected = in JSX attribute	error	parser/general	Expected '=' in JSX attribute	<Box width 100>	<Box width=100>	no
KAIN-PARSE-0001-ITEM	Top-level item expected	error	parser/general	Expected item (fn, patch, law, axiom, converge, world, entangle, ...)	42	fn main: {}	no
KAIN-PARSE-0001-DEFER	Defer missing expression	error	parser/general	defer expects an expression payload in v1	defer	defer file.close()	no
KAIN-PARSE-0001-WORLD	World missing surface (parse-level)	error	parser/general	world block must contain at least one surface projection	world My: {}	world My: surface native_ui => Panel	no
KAIN-PARSE-0001-ENTANGLE	Entangle missing from/to	error	parser/general	entangle requires both 'from' and 'to' target components	entangle World.comp	entangle from World.a to World.b	no
KAIN-PARSE-0001-ENTANGLE2	Invalid entangle endpoint	error	parser/general	Entangle endpoint must be a dotted path like World.component.field	entangle from x to y	entangle from W.a.field to W.b.field	no
KAIN-PARSE-0001-RESONATE	Invalid resonate endpoint	error	parser/general	Resonate endpoint must be a dotted path like World.component.field			no
KAIN-PARSE-0001-STRUCTLIT	Duplicate struct update ..base	error	parser/general	Struct update syntax only supports one '..base' expression	Struct { ..a, ..b }	Struct { ..a }	no
KAIN-PARSE-0001-STRUCTLIT2	Empty struct update ..	error	parser/general	Struct update syntax requires an expression after '..'	Struct { .. }	Struct { ..base }	no
KAIN-PARSE-0001-IF	Expected if after else	error	parser/general	Expected if expression after else	else { x }	else if cond: { x }	no
KAIN-PARSE-0001-DELEGATE	Expected delegate keyword	error	parser/general	Expected 'delegate' keyword			no
KAIN-PARSE-0001-STATE	Unexpected method in state definition	error	parser/general	Unexpected method in state definition. Use @transition for transitions.			no
KAIN-PARSE-0001-STATE2	Animation property not a string	error	parser/general	Expected string literal for animation property			no
KAIN-PARSE-0001-IDENT	Expected identifier	error	parser/general	Expected identifier			no
KAIN-PARSE-0001-IDENT2	Unexpected end of input	error	parser/general	Unexpected end of input			no
