example	construct	code_snippet	file_line	purpose
orchestrate multi-language	orchestrate	orchestrate preflight_pipeline(seed: Int, authority: Authority) -> Int: / c_shadow / py_shadow / gpu_lane	KAIN_BY_EXAMPLE.md:517	Multi-language pipeline (C+Python+GPU)
pulse with teleport	pulse	pulse clock_driver every 8ms jitter 1ms: let shard = Shard ... / teleport shard from Authority to Mirror via pulse_bus	KAIN_BY_EXAMPLE.md:544	Pulse recurring beat with teleport inside
resonate calls orchestrate	resonate	resonate Authority.signal dampen 0 ms: Authority.shadow = signal_pipeline(resonate_new_i64 + tick, tick)	KAIN_BY_EXAMPLE.md:554	Resonate calling orchestrate pipeline on state change
axiom capability	axiom	"axiom machine_truth: when target(""llvm"") / when arch(""x86_64"") / when capability(""memory.shatter"")"	KAIN_BY_EXAMPLE.md:567	Capability assumption with fallback
shatter struct SoA	shatter struct	shatter struct Particle: position_x: Float; position_y: Float; velocity_x: Float; velocity_y: Float; alive: Bool	KAIN_BY_EXAMPLE.md:576	Structure-of-Arrays layout declaration
teleport zero-copy	teleport	teleport shard from Authority to Mirror via shard_bus / score_before == score_after	KAIN_BY_EXAMPLE.md:586	Zero-copy cross-world integrity proof
actor message concurrency	actor	actor CrucibleRelayActor: state bias: Int = 7 / on Compute(reply_to: P, payload: Int) / send child.Verify(...)	KAIN_BY_EXAMPLE.md:607	Message-oriented concurrency with converge + cascade
spawn/ask multi-actor	spawn/ask	"fn actor_cascade_checksum(iterations: Int, modulus: Int) with Unsafe: let relay = spawn ... / ask(relay, ""Compute"", pack(v, seed))"	KAIN_BY_EXAMPLE.md:625	Multi-actor spawn and ask with async fusion
actor cascade delegate	actor	actor CrucibleVerifier: state min_val: Int = 0 / on Verify(reply_to: P, val: Int)	KAIN_BY_EXAMPLE.md:640	Actor cascade: spawn, delegate reply, converge inside
actor telemetry counters	actor	fn actor_telemetry_hot(count: Int) -> Int: actor_scheduler_queue_depth() / 7 counters	KAIN_BY_EXAMPLE.md:663	Hot loop actor telemetry with 7 scheduler counters
ownership + teleport in actor	collapse/observe/decay	actor CrucibleTeleporter: state done: Int = 0 / collapse cells: / observe cells: / decay cells / teleport shard	KAIN_BY_EXAMPLE.md:678	Ownership lifecycle inside actor with cross-world teleport
share/fanout contention	share/fanout	fn contention_wall_checksum(iterations: Int) -> Int: share counter: fanout worker in 0..32	KAIN_BY_EXAMPLE.md:714	32-worker parallel contention wall
include C headers	include	include <stdio.h> as cstdio; include <windows.h> as win; include <vulkan/vulkan.h> as vk	KAIN_BY_EXAMPLE.md:741	C header import (local + system)
import Python	import	import json as py_json; import numpy as np; from torch import tensor	KAIN_BY_EXAMPLE.md:750	Python host object import
ABI control attributes	@naked/@callconv	"@naked @section @link_name fn metal_naked_trap() with Unsafe: asm(""ret"") / @callconv(""win64"")"	KAIN_BY_EXAMPLE.md:759	Full ABI control with attributes
shader compute kernel	shader compute	shader compute OrchestrateGodKernel(id: UVec3) -> Void workgroup(8, 1, 1): / StorageBuffer src/dst	KAIN_BY_EXAMPLE.md:780	UInt compute kernel with workgroup
shader vertex	fragment/shader	shader vertex CrucibleVertex(position: Vec3, uv: Vec2) -> Vec4: uniform offset: Vec3 @0	KAIN_BY_EXAMPLE.md:799	Vertex shader with uniform binding
dispatch GPU launch	dispatch	"fn dispatch_pipeline_checksum(iterations: Int) with GPU, Unsafe: dispatch ""shader::Kernel::compute"" [13, 2, 1]"	KAIN_BY_EXAMPLE.md:810	Host-side GPU launch with ABI telemetry
std::graphics session	graphics	"fn graphics_probe() -> Int: let session = graphics_session_create(""probe"", 320, 240)"	KAIN_BY_EXAMPLE.md:828	Graphics command recording session
std::gpu resource policy	gpu	fn buffer_contract() -> Int: / gpu_resource_policy(...) / gpu_shared_buffer_zeroed(...)	KAIN_BY_EXAMPLE.md:847	GPU resource policy and buffer creation
raw memory ptr<T>	ptr/alloc	mem	"fn raw_memory(count: Int) with Unsafe: let cells: ptr<Int> = alloc_zeroed(count, ""Int"")"	KAIN_BY_EXAMPLE.md:862	Raw pointer allocation and access
volatile MMIO	volatile	"fn mmio_probe(slot: ptr<Int>) with Unsafe: volatile_store(slot, 11, ""Int"") / volatile_load(slot, ""Int"")"	KAIN_BY_EXAMPLE.md:879	MMIO volatile access
bitcast/ptr cast	bitcast	"fn cast_lane(x: Float) with Unsafe: let bits: Int = bitcast(x, ""I64"") / ptr_to_int / int_to_ptr"	KAIN_BY_EXAMPLE.md:887	Bitcast and pointer arithmetic
fence barriers	fence	fn fence_barrier_pressure_checksum(iterations: Int) with Unsafe: lfence() / sfence() / mfence() in loop	KAIN_BY_EXAMPLE.md:904	Tight loop fence barrier pressure
asm inline assembly	asm	"fn pause_loop(iterations: Int) with Unsafe: asm(""pause"") / asm(""nop"")"	KAIN_BY_EXAMPLE.md:924	Inline assembly with no operands
asm with operand	asm	"fn clflush_hammer(iterations: Int) with Unsafe: asm(""clflush ($0)"", addr, memory = true)"	KAIN_BY_EXAMPLE.md:934	Inline assembly with memory operand
vm page operations	vm	fn vm_page_torture_checksum(iterations: Int) with Unsafe: vm_reserve / vm_commit / vm_protect / vm_lock	KAIN_BY_EXAMPLE.md:954	Full virtual memory page torture loop
cpuid intrinsics	cpuid	fn cpu_cpuid_topology_checksum(iterations: Int) with Unsafe: cpuid_eax/ebx/ecx/edx	KAIN_BY_EXAMPLE.md:986	CPUID topology query
comptime shader metadata	comptime	"comptime: let compute = ([64, 1, 1], [(""src"", ""u32"", ...)], [])"	KAIN_BY_EXAMPLE.md:1010	Comptime shader metadata block
macro syntactic	macro	macro fold!(x: expr): mod(x, 1000000007); let result = fold!(acc + index)	KAIN_BY_EXAMPLE.md:1024	Syntactic macro definition and usage
test compiletest	test	test fn test_addition(): assert(add(2, 2) == 4)	KAIN_BY_EXAMPLE.md:1035	Test function with assertion
runtime lifecycle	runtime	use std::runtime; fn main() -> Int: let init = runtime_init() / runtime_shutdown()	KAIN_BY_EXAMPLE.md:1049	Runtime init/shutdown lifecycle
semantic telemetry	telemetry	fn verify_semantics_fired() -> Int: resonate_delta / entangle_delta / teleport_delta / patch_delta / orchestrate_delta	KAIN_BY_EXAMPLE.md:1064	All-layer semantic telemetry with delta guards
std::machine helpers	machine	fn machine_probe(ptr: ptr<Int>) with Unsafe: load_fence() / store_fence() / cache_flush()	KAIN_BY_EXAMPLE.md:1092	Machine helpers: fences, cache flush, page size
full fusion - all 7 layers	fusion	fn fusion_full_causal_chain_checksum(...) with Unsafe: / patch -> resonate -> orchestrate -> converge -> actor -> teleport -> world	KAIN_BY_EXAMPLE.md:1110	Complete 7-layer causal chain in one loop
decision ladder quick ref	ladder	"Am I crossing into C/OS? -> include / ""GPU kernel?"" -> shader / ""Global named state?"" -> world / ""None of above?"" -> fn, let, etc."	KAIN_BY_EXAMPLE.md:1193	Quick reference decision ladder
