module	symbol	kind	signature	purpose
sync	condvar_new	function	fn condvar_new() -> CondVar	Create condition variable
sync	condvar_wait_timeout	function	fn condvar_wait_timeout(cv: CondVar, ...) -> Int	Wait on condvar with timeout
sync	condvar_notify_one	function	fn condvar_notify_one(cv: CondVar) -> Int	Notify one waiter
sync	condvar_notify_all	function	fn condvar_notify_all(cv: CondVar) -> Int	Notify all waiters
thread	thread_spawn	function	fn thread_spawn(func: ptr<Int>, arg: ptr<Int>) -> Thread	Spawn OS thread
thread	thread_spawn_entry	function	fn thread_spawn_entry(entry: ThreadEntry, arg: ptr<Int>) -> Thread	Spawn thread with entry
thread	thread_join	function	fn thread_join(thread: Thread) -> Int	Join OS thread
thread	thread_yield	function	fn thread_yield() -> Int	Yield thread timeslice
thread	thread_current_id	function	fn thread_current_id() -> Int	Get current thread ID
thread	thread_set_name	function	fn thread_set_name(name: String) -> Int	Set thread name
thread	thread_logical_count	function	fn thread_logical_count() -> Int	Get logical thread count
thread	thread_core_count	function	fn thread_core_count() -> Int	Get physical core count
thread	thread_is_done	function	fn thread_is_done(thread: Thread) -> Bool	Check if thread finished
gpu	gpu_memory_policy	function	fn gpu_memory_policy(residency,access,queue,layout,descriptor) -> GpuMemoryPolicy	Create GPU memory policy
gpu	gpu_shared_memory_policy	function	fn gpu_shared_memory_policy(...) -> GpuMemoryPolicy	Create shared memory policy
gpu	gpu_device_local_memory_policy	function	fn gpu_device_local_memory_policy(...) -> GpuMemoryPolicy	Device-local memory policy
gpu	gpu_upload_memory_policy	function	fn gpu_upload_memory_policy(...) -> GpuMemoryPolicy	Upload memory policy
gpu	gpu_readback_memory_policy	function	fn gpu_readback_memory_policy(...) -> GpuMemoryPolicy	Readback memory policy
gpu	gpu_resource_policy	function	fn gpu_resource_policy(memory,usage_flags,debug_name) -> GpuResourcePolicy	Create GPU resource policy
gpu	gpu_binding_plan	function	fn gpu_binding_plan(binding,descriptor,stage,access,queue) -> GpuBindingPlan	Create GPU binding plan
gpu	gpu_storage_buffer_binding	function	fn gpu_storage_buffer_binding(binding,stage,access,queue) -> GpuBindingPlan	Storage buffer binding plan
gpu	gpu_uniform_buffer_binding	function	fn gpu_uniform_buffer_binding(binding,stage,queue) -> GpuBindingPlan	Uniform buffer binding plan
gpu	gpu_element_size_bytes	function	fn gpu_element_size_bytes(element_type: String) -> Int	Get element byte size
gpu	gpu_element_count	function	fn gpu_element_count(shape: Array<Int>) -> Int	Compute element count
gpu	gpu_required_byte_length	function	fn gpu_required_byte_length(element_type,shape) -> Int	Compute required byte length
gpu	gpu_shared_buffer_from_bytes	function	fn gpu_shared_buffer_from_bytes(bytes,type,shape,format,mime,policy) -> GpuBuffer	Create shared buffer from bytes
gpu	gpu_shared_buffer_zeroed	function	fn gpu_shared_buffer_zeroed(type,shape,format,mime,policy) -> GpuBuffer	Create zeroed shared buffer
gpu	gpu_shared_image_from_bytes	function	fn gpu_shared_image_from_bytes(bytes,w,h,ch,layout,format,mime,policy) -> GpuImage	Create shared image
gpu	gpu_shared_image_zeroed	function	fn gpu_shared_image_zeroed(w,h,ch,layout,format,mime,policy) -> GpuImage	Create zeroed shared image
gpu	gpu_backend_state	function	fn gpu_backend_state(backend_id: String) -> GpuBackendState	Get GPU backend state
gpu	gpu_backend_preferred	function	fn gpu_backend_preferred() -> GpuBackendState	Get preferred GPU backend
gpu	gpu_std140_vec3	function	fn gpu_std140_vec3(value: Vec3) -> Std140<Std140Vec3>	Convert Vec3 to std140
gpu	gpu_std140_vec4	function	fn gpu_std140_vec4(value: Vec4) -> Std140<Vec4>	Convert Vec4 to std140
gpu	gpu_std140_mat4	function	fn gpu_std140_mat4(value: Mat4) -> Std140<Mat4>	Convert Mat4 to std140
gpu	gpu_std430_vec3a	function	fn gpu_std430_vec3a(value: Vec3A) -> Std430<Vec3A>	Convert Vec3A to std430
gpu	gpu_cbuffer_mat4	function	fn gpu_cbuffer_mat4(value: Mat4) -> CBuffer<Mat4>	Convert Mat4 to CBuffer
graphics	graphics_session_create	function	fn graphics_session_create(app_name: String, width: Int, height: Int) -> Int	Create graphics session
graphics	graphics_session_destroy	function	fn graphics_session_destroy(session_id: Int) -> Int	Destroy graphics session
graphics	graphics_backend_supported	function	fn graphics_backend_supported(backend_id: String) -> Int	Check backend support
graphics	graphics_backend_select	function	fn graphics_backend_select(session_id: Int, backend_id: String) -> Int	Select graphics backend
graphics	graphics_active_backend	function	fn graphics_active_backend(session_id: Int) -> String	Get active backend
graphics	graphics_begin_frame	function	fn graphics_begin_frame(session_id: Int, delta_ms: Float) -> Int	Begin render frame
graphics	graphics_end_frame	function	fn graphics_end_frame(session_id: Int) -> Int	End render frame
graphics	graphics_present	function	fn graphics_present(session_id: Int) -> Int	Present frame to display
graphics	graphics_buffer_create	function	fn graphics_buffer_create(session,kind,label,length,stride) -> Int	Create graphics buffer
graphics	graphics_shader_spirv_from_hex	function	fn graphics_shader_spirv_from_hex(session,key,stage,entry,hex) -> Int	Create shader from hex SPIR-V
graphics	graphics_mesh_create	function	fn graphics_mesh_create(session,label,vbuf,ibuf,vcnt,icnt) -> Int	Create mesh
graphics	graphics_pipeline_create	function	fn graphics_pipeline_create(session,label,vs,fs,backend) -> Int	Create graphics pipeline
graphics	graphics_draw_mesh	function	fn graphics_draw_mesh(session,pipeline,mesh,instances) -> Int	Draw mesh
math	math module	module	250+ symbols	Pure math: vectors, matrices, quaternions, noise, intersections
hash	hash module	module	47 symbols	Pure hashing: Wang hash, FNV-1a, CRC32, Fingerprint32
collections	collections module	module	110 symbols	Data structures: ArrayList, HashMap, SlotMap, PriorityQueue
text	text module	module	59 symbols	Text processing: TextSlice, StringView, trim, split, join
ascii	ascii module	module	53 symbols	Character classification: is_alpha, is_digit, is_whitespace
fmt	fmt module	module	76 symbols	Formatting: FmtWriter, int/float/bool/hex formatting
bits	bits module	module	17 symbols	Bit manipulation: popcount, clz, ctz, bswap, rotl, rotr
base64	base64 module	module	14 symbols	Base64 encode/decode
memory	memory module	module	19 symbols	Volatile load/store, fences (lfence/sfence/mfence), prefetch
atomic	atomic module	module	44 symbols	Atomic ops: load/store/add/sub/cas/exchange with ordering
alloc	alloc module	module	33 symbols	Allocators: BumpAllocator, ArenaAllocator, PoolAllocator
io	io module	module	29 symbols	Buffer primitives: RingBuffer, StringBuilder
bytes	bytes module	module	33 symbols	Byte slices: ByteSlice, BytesBuilder, hex encode/decode
crypto	crypto module	module	9 symbols	Hash primitives: SHA-256, SHA-512 stubs
json	json module	module	133 symbols	JSON parser/serializer
semver	semver module	module	28 symbols	Semantic version parser
uri	uri module	module	10 symbols	URI parser: scheme, authority, path, query, fragment
tar	tar module	module	9 symbols	Tar format parser
zip	zip module	module	9 symbols	Zip format parser
compress	compress module	module	9 symbols	Compression: deflate/inflate stubs
unicode	unicode module	module	13 symbols	Unicode utilities: codepoint classification, UTF-8 encode/decode
simd	simd module	module	16 symbols	SIMD vector types: I64x4 with lane ops, dot, gather/scatter
path	path module	module	11 symbols	Path utilities: join, parent, filename, extension, normalize
elf	elf module	module	11 symbols	ELF format header/program/section readers
mmio	mmio module	module	20 symbols	MMIO: bit field get/set, endian swap, volatile read/write
random	random module	module	21 symbols	RNG: Xoshiro128, random_int_in_range, random_float
fs	fs module	module	148 symbols	Filesystem API: open, read, write, walk, watch
os	os module	module	127 symbols	OS interface: env vars, process info, mmap, syscalls
os_path	os_path module	module	32 symbols	OS path manipulation
process	process module	module	63 symbols	Process spawning: fork/exec, pipes, PTY
platform	platform module	module	24 symbols	Dynamic library loading: dlopen/dlsym
python	python module	module	78 symbols	Python bridge: CPython embedding
cuda	cuda module	module	93 symbols	CUDA bridge: GPU compute dispatch
input	input module	module	45 symbols	Input devices: keyboard, mouse, gamepad
ui	ui module	module	340 symbols	Full UI framework
http	http module	module	44 symbols	HTTP networking
http2	http2 module	module	10 symbols	HTTP/2 networking
net	net module	module	58 symbols	TCP networking: connect, listen, accept
mcp	mcp module	module	73 symbols	MCP protocol
tls	tls module	module	11 symbols	TLS networking
interop	interop module	module	10 symbols	Interop bridges: Python, JS, C host objects
js	js module	module	69 symbols	JavaScript interop
kain	kain module	module	31 symbols	Compiler tooling
build	build module	module	51 symbols	Build system
test	test module	module	27 symbols	Test framework
proof	proof module	module	49 symbols	Proof framework
certify	certify module	module	3 symbols	Certification framework
attrition	attrition module	module	3 symbols	Attrition testing framework
bench	bench module	module	4 symbols	Benchmark framework
diagnostics	diagnostics module	module	25 symbols	Diagnostics and error reporting
machine	machine module	module	38 symbols	CPU intrinsics and VM operations
reload	reload module	module	43 symbols	Hot reload support
reflect	reflect module	module	5 symbols	Runtime reflection
target	target module	module	6 symbols	Target enum: Arch, OS, Env, Target
markscript	markscript module	module	various	Markdown-as-scriptable language
wasm	wasm module	module	18 symbols	WebAssembly target support
mks	mks module	module	various	MKS utilities
no_std	no_std module	module	various	Bare-metal gate module
