risk_score,file,function,line,operators,alloc_hits,guard_hits,has_cast,expression,reasons
95,realtime.c,realtime_count_array_objects,1361,*|+,malloc(,,1,json = (char*)malloc((size_t)length + 1u);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | sentinel/null byte style increment
95,realtime.c,realtime_count_array_objects,3024,*|+,malloc(,,1,json = (char*)malloc((size_t)length + 1u);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | sentinel/null byte style increment
95,reflection.c,json_parse,981,*,realloc(,,1,"types = (KainTypeSchema*)realloc(payload->types, (size_t)new_capacity * sizeof(KainTypeSchema));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,reflection.c,json_parse,1004,*,realloc(,,1,"items = (KainItemMetadata*)realloc(payload->items, (size_t)new_capacity * sizeof(KainItemMetadata));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,stdlib_abi.c,abi_fs_metadata_text,3016,*,memcpy(,,1,"memcpy(output->block_words, left_cv, 8u * sizeof(uint32_t));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,stdlib_abi.c,abi_fs_metadata_text,3017,*|+,memcpy(,,1,"memcpy(output->block_words + 8, right_cv, 8u * sizeof(uint32_t));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,wire.c,abi_wire_zero_copy_binary_checksum,121,*|+,calloc(,,1,"(int32_t*)calloc((size_t)KAIN_WIRE_WORD3_MOD + 1u, sizeof(int32_t));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | sentinel/null byte style increment
90,net_system.c,abi_http_request_set_body_text,2072,*|+,malloc(,,0,request->body = (unsigned char*)malloc(request->body_length + 1u);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | sentinel/null byte style increment | pointer or indexed arithmetic
85,core.c,kain_map_resize,1508,*,calloc(,,1,"new_entries = (MapEntry*)calloc((size_t)new_capacity, sizeof(MapEntry));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site
85,net_system.c,abi_net_wide_from_utf8,1584,*,malloc(,,1,wide = (wchar_t*)malloc(sizeof(wchar_t) * (size_t)needed);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site
85,stdlib_abi.c,abi_fs_builder_appendf,1550,+,snprintf(,,1,"vsnprintf(builder->data + builder->length, (size_t)written + 1, format, args);",no nearby overflow or range guard | size math feeds allocation or copy sink | explicit cast in arithmetic site | sentinel/null byte style increment | pointer or indexed arithmetic
85,stdlib_abi.c,abi_fs_metadata_text,2769,*,malloc(,,1,buffer = (unsigned char*)malloc((size_t)length);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site
85,stdlib_abi.c,abi_fs_metadata_text,2937,*,memcpy(,,1,"memcpy(state, cv, 8u * sizeof(uint32_t));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site
85,stdlib_abi.c,abi_fs_metadata_text,2938,*|+,memcpy(,,1,"memcpy(state + 8, ABI_BLAKE3_IV, 4u * sizeof(uint32_t));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site
85,stdlib_abi.c,abi_fs_metadata_text,2943,*,memcpy(,,1,"memcpy(msg, block_words, 16u * sizeof(uint32_t));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site
85,stdlib_abi.c,abi_fs_metadata_text,2964,*,memcpy(,,1,"memcpy(cv, words, 8u * sizeof(uint32_t));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site
85,stdlib_abi.c,abi_fs_metadata_text,2999,*,memcpy(,,1,"memcpy(cv, compressed, 8u * sizeof(uint32_t));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site
85,stdlib_abi.c,abi_fs_metadata_text,3065,*|+,memmove(,,1,"memmove(cvs + (write_index * 8u), cvs + (read_index * 8u), 8u * sizeof(uint32_t));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site
80,core.c,map_new,1573,*,calloc(,,0,"map->entries = (MapEntry*)calloc(16, sizeof(MapEntry));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | pointer or indexed arithmetic
80,json.c,json_dup_range,105,*|+,malloc(,,0,char* out = (char*)malloc(length + 1u);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | sentinel/null byte style increment
80,json.c,json_buffer_reserve,412,*,realloc(,,0,"data = (char*)realloc(buffer->data, capacity);",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | pointer or indexed arithmetic
80,net_system.c,abi_net_decode_hex,692,*|+,malloc(,,0,bytes = (unsigned char*)malloc(length / 2u + 1u);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | sentinel/null byte style increment
80,net_system.c,abi_net_parse_http_request,1304,*|+,malloc(,,0,text = (char*)malloc(length + 1u);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | sentinel/null byte style increment
80,process_system.c,abi_process_capture_reserve,453,*,realloc(,,0,"resized = (unsigned char*)realloc(capture->bytes, next_capacity);",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | pointer or indexed arithmetic
80,process_system.c,abi_process_wide_duplicate,966,*|+,memcpy(,,0,"memcpy(copy, text, (length + 1u) * sizeof(wchar_t));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | sentinel/null byte style increment
80,process_system.c,abi_process_build_environment_block_w,1161,*,memcpy(,,0,"memcpy(output_cursor, entries.entries[index], entry_length * sizeof(wchar_t));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | pointer or indexed arithmetic
80,reflection.c,kain_reflection_load_from_path,246,*|+,malloc(,,0,char* json = (char*)malloc(file_size + 1);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | sentinel/null byte style increment
80,reflection.c,reflection_strdup,1771,*|+,malloc(,,0,copy = (char*)malloc(length + 1);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | sentinel/null byte style increment
80,stdlib_abi.c,abi_fs_builder_init,1441,*,malloc(,,0,builder->data = (char*)malloc(builder->capacity);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | pointer or indexed arithmetic
75,core.c,file_read,651,*|+,,,1,"buf = (char*)kain_alloc_rc((size_t)size + 1, 1);",no nearby overflow or range guard | multiplication can amplify overflow | explicit cast in arithmetic site | sentinel/null byte style increment
75,graphics_system.c,abi_graphics_decode_hex,362,<<,,,1,bytes[index] = (uint8_t)((high << 4) | low);,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,net_system.c,abi_net_parse_url,1091,-,memcpy(,,1,"memcpy(parsed->scheme, url, (size_t)(scheme_end - url));",no nearby overflow or range guard | size math feeds allocation or copy sink | explicit cast in arithmetic site | pointer or indexed arithmetic
75,net_system.c,abi_net_http_server_pump_one,2352,<<|-,,,1,server->pending_request_slots |= UINT64_C(1) << (uint32_t)(request - g_requests);,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,reflection.c,json_parse,1052,<<,,,1,((uint64_t)bytes[1] << 8u) |,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,reflection.c,json_parse,1053,<<,,,1,((uint64_t)bytes[2] << 16u) |,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,reflection.c,json_parse,1054,<<,,,1,((uint64_t)bytes[3] << 24u) |,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,reflection.c,json_parse,1055,<<,,,1,((uint64_t)bytes[4] << 32u) |,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,reflection.c,json_parse,1056,<<,,,1,((uint64_t)bytes[5] << 40u) |,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,reflection.c,json_parse,1057,<<,,,1,((uint64_t)bytes[6] << 48u) |,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,reflection.c,json_parse,1058,<<,,,1,((uint64_t)bytes[7] << 56u);,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,stdlib_abi.c,abi_fs_metadata_text,2871,<<,,,1,((uint32_t)bytes[1] << 8u) |,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,stdlib_abi.c,abi_fs_metadata_text,2872,<<,,,1,((uint32_t)bytes[2] << 16u) |,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,stdlib_abi.c,abi_fs_metadata_text,2873,<<,,,1,((uint32_t)bytes[3] << 24u);,no nearby overflow or range guard | shift-based growth math | explicit cast in arithmetic site | pointer or indexed arithmetic
75,wire.c,abi_wire_zero_copy_binary_checksum,116,*,,,1,(KAIN_WIRE_WORD3_MOD * (int64_t)KAIN_WIRE_PERIOD_WRAP_COUNTS[block]);,no nearby overflow or range guard | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
70,actor.c,kain_actor_reply_port_state_bind_synthetic_actor,1023,*,calloc(,,0,"actor = (KainActorState_Internal*)calloc(1, sizeof(KainActorState_Internal));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,actor.c,kain_actor_mailbox_append_copied_locked,1576,*,malloc(,,0,node = (MessageNode*)malloc(sizeof(MessageNode));,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,actor.c,kain_actor_thread_proc,2325,*,calloc(,,0,"KainActorState_Internal* actor = (KainActorState_Internal*)calloc(1, sizeof(KainActorState_Internal));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,actor.c,kain_actor_thread_proc,3155,*,malloc(,,0,KainActorMonitor* monitor = (KainActorMonitor*)malloc(sizeof(KainActorMonitor));,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,actor.c,kain_actor_thread_proc,3272,*,malloc(,,0,KainActorLink* link_a = (KainActorLink*)malloc(sizeof(KainActorLink));,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,actor.c,kain_actor_thread_proc,3285,*,malloc(,,0,KainActorLink* link_b = (KainActorLink*)malloc(sizeof(KainActorLink));,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,actor.c,kain_actor_thread_proc,3479,*,malloc(,,0,entry = (KainActorRegistryEntry*)malloc(sizeof(KainActorRegistryEntry));,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,actor.c,kain_actor_thread_proc,3619,*,memset(,,0,"memset(snapshot, 0, sizeof(*snapshot));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,actor.c,kain_actor_thread_proc,3788,*,malloc(,,0,g_scheduler.worker_threads = (HANDLE*)malloc(sizeof(HANDLE) * KAIN_SCHEDULER_WORKER_COUNT);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,actor.c,kain_actor_thread_proc,3789,*,malloc(,,0,g_scheduler.worker_thread_ids = (DWORD*)malloc(sizeof(DWORD) * KAIN_SCHEDULER_WORKER_COUNT);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,actor.c,kain_actor_thread_proc,3793,*,malloc(,,0,g_scheduler.worker_threads = (pthread_t*)malloc(sizeof(pthread_t) * KAIN_SCHEDULER_WORKER_COUNT);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,actor.c,kain_actor_thread_proc,3825,*,calloc(,,0,"(KainActorReplyPortState*)calloc(1, sizeof(KainActorReplyPortState));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,async.c,kain_async_release_task_record_locked,480,*,memset(,,0,"memset(task, 0, sizeof(*task));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,async.c,kain_async_release_timer_record_locked,493,*,memset(,,0,"memset(timer, 0, sizeof(*timer));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,async.c,kain_async_allocate_task_record,536,*,memset(,,0,"memset(record, 0, sizeof(*record));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,async.c,kain_async_allocate_task_record,566,*,memset(,,0,"memset(record, 0, sizeof(*record));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,async.c,kain_async_allocate_timer_record,593,*,memset(,,0,"memset(record, 0, sizeof(*record));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,async.c,kain_async_timer_thread_proc,909,*,memset(,,0,"memset(config, 0, sizeof(*config));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,async.c,kain_async_timer_thread_proc,1174,*,memset(,,0,"memset(timer, 0, sizeof(*timer));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,async.c,kain_async_timer_thread_proc,1195,*,memset(,,0,"memset(timer, 0, sizeof(*timer));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,async.c,kain_async_timer_thread_proc,1215,*,memset(,,0,"memset(timer, 0, sizeof(*timer));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,attrition.c,kain_attrition_session_config_init,269,*,memset(,,0,"memset(config, 0, sizeof(*config));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,attrition.c,kain_attrition_runtime_snapshot,323,*,memset(,,0,"memset(out_snapshot, 0, sizeof(*out_snapshot));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,compatibility.c,kain_bundle_compat_metadata_init,92,*,memset(,,0,"memset(metadata, 0, sizeof(*metadata));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,compatibility.c,kain_bundle_validate_compatibility,118,*,memset(,,0,"memset(result, 0, sizeof(*result));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,compatibility.c,kain_bundle_install,207,*,calloc(,,0,"handle = (KainBundleHandle*)calloc(1, sizeof(*handle));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,compatibility.c,kain_bundle_snapshot_state,387,*,calloc(,,0,"snapshot = (KainBundleStateSnapshot*)calloc(1, sizeof(*snapshot));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,core.c,void,277,*,malloc(,,0,ThreadArgs* args = (ThreadArgs*)malloc(sizeof(ThreadArgs));,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,core.c,mq_new,1793,*,malloc(,,0,MessageQueue* mq = (MessageQueue*)malloc(sizeof(MessageQueue));,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,core.c,mq_push,1816,*,malloc(,,0,MessageNode* node = (MessageNode*)malloc(sizeof(MessageNode));,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,fanout.c,kain_fanout_runtime_init,233,*,memset(,,0,"memset(runtime, 0, sizeof(*runtime));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,fanout.c,kain_fanout_runtime_init,240,*,memset(,,0,"memset(runtime, 0, sizeof(*runtime));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,fanout.c,kain_fanout_runtime_init,245,*,memset(,,0,"memset(runtime, 0, sizeof(*runtime));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,fanout.c,kain_fanout_runtime_init,251,*,memset(,,0,"memset(runtime, 0, sizeof(*runtime));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,fanout.c,kain_fanout_runtime_init,265,*,memset(,,0,"memset(runtime, 0, sizeof(*runtime));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,fanout.c,kain_fanout_runtime_shutdown,367,*,memset(,,0,"memset(runtime, 0, sizeof(*runtime));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,graphics_system.c,abi_graphics_decode_hex,355,*,malloc(,,0,bytes = (uint8_t*)malloc(byte_count);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,graphics_system.c,abi_graphics_decode_hex,361,*|+,,,0,int low = abi_graphics_hex_value(bytes_hex[index * 2u + 1u]);,no nearby overflow or range guard | multiplication can amplify overflow | sentinel/null byte style increment | pointer or indexed arithmetic
70,graphics_system.c,abi_graphics_session_destroy,520,*,memset(,,0,"memset(session, 0, sizeof(*session));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,graphics_system.c,abi_graphics_draw_mesh,1177,*,memset(,,0,"memset(command, 0, sizeof(*command));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,host_bridge.c,kain_host_bridge_registry_init,60,*,memset(,,0,"memset(registry, 0, sizeof(*registry));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,host_bridge.c,kain_host_bridge_module_descriptor_init,68,*,memset(,,0,"memset(descriptor, 0, sizeof(*descriptor));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,host_bridge.c,kain_host_bridge_service_descriptor_init,78,*,memset(,,0,"memset(descriptor, 0, sizeof(*descriptor));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,host_bridge.c,kain_host_bridge_install_module,212,*,memset(,,0,"memset(module, 0, sizeof(*module));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,input_system.c,abi_input_session_destroy,389,*,memset(,,0,"memset(session, 0, sizeof(*session));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,input_system.c,abi_input_bind_action,424,*,memset(,,0,"memset(binding, 0, sizeof(*binding));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,input_system.c,abi_input_bind_axis,455,*,memset(,,0,"memset(binding, 0, sizeof(*binding));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,input_system.c,abi_input_push_event,488,*,memset(,,0,"memset(event, 0, sizeof(*event));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,input_system.c,abi_input_push_agent_intent,526,*,memset(,,0,"memset(event, 0, sizeof(*event));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,input_system.c,abi_input_replay_trace,699,*,memset(,,0,"memset(event, 0, sizeof(*event));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,json.c,json_register_value,67,*,malloc(,,0,node = (KainJsonRegistryNode*)malloc(sizeof(KainJsonRegistryNode));,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,json.c,json_write_escaped,512,*,snprintf(,,0,"snprintf(escape, sizeof(escape), ""\\u%04x"", (unsigned int)*p);",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,memory.c,__kain_alloc,542,*,calloc(,,0,"header = (KainAllocHeader*)calloc(1, allocation_size);",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,memory.c,__kain_alloc,544,*,malloc(,,0,header = (KainAllocHeader*)malloc(allocation_size);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,memory.c,__kain_realloc,575,*,realloc(,,0,"void* __kain_realloc(void* ptr, size_t size, size_t stride, int zeroed_new) {",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,net_system.c,abi_net_encode_hex,723,*|+,,,0,output[index * 2u + 1u] = alphabet[bytes[index] & 0x0F];,no nearby overflow or range guard | multiplication can amplify overflow | sentinel/null byte style increment | pointer or indexed arithmetic
70,net_system.c,abi_net_append_bytes,760,*|+,memcpy(,,0,"memcpy(*buffer + *length, bytes, byte_count);",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,net_system.c,abi_net_parse_url,1082,*,memset(,,0,"memset(parsed, 0, sizeof(*parsed));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,net_system.c,abi_tcp_close,2018,*,memset(,,0,"memset(connection, 0, sizeof(*connection));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,net_system.c,abi_tcp_listener_close,2032,*,memset(,,0,"memset(listener, 0, sizeof(*listener));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,net_system.c,abi_http_request_set_body_text,2076,+,memcpy(,,0,"memcpy(request->body, text, request->body_length + 1u);",no nearby overflow or range guard | size math feeds allocation or copy sink | sentinel/null byte style increment | pointer or indexed arithmetic
70,net_system.c,abi_http_request_destroy,2231,*,memset(,,0,"memset(request, 0, sizeof(*request));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,net_system.c,abi_http_response_destroy,2245,*,memset(,,0,"memset(response, 0, sizeof(*response));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,net_system.c,abi_http_server_route_actor,2297,*,memset(,,0,"memset(route, 0, sizeof(*route));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,net_system.c,abi_net_http_concurrency_server_thread,2987,*,memset(,,0,"memset(server, 0, sizeof(*server));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,process_system.c,abi_process_decode_hex,531,*,malloc(,,0,decoded = (unsigned char*)malloc(hex_length / 2u);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,process_system.c,abi_process_decode_hex,537,*|+,,,0,int low = abi_process_hex_value(bytes_hex[index * 2u + 1u]);,no nearby overflow or range guard | multiplication can amplify overflow | sentinel/null byte style increment | pointer or indexed arithmetic
70,process_system.c,abi_process_encode_hex,568,*|+,,,0,encoded[index * 2u + 1u] = alphabet[bytes[index] & 0x0f];,no nearby overflow or range guard | multiplication can amplify overflow | sentinel/null byte style increment | pointer or indexed arithmetic
70,process_system.c,abi_process_release_handle,635,*,memset(,,0,"memset(process, 0, sizeof(*process));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,process_system.c,abi_process_utf8_to_wide,666,*,malloc(,,0,wide_text = (wchar_t*)malloc(sizeof(wchar_t));,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,process_system.c,abi_process_drain_stream_handle,1424,*,realloc(,,0,"chunk = (unsigned char*)realloc(chunk, next_capacity);",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,process_system.c,abi_process_spec_create,2194,*,memset(,,0,"memset(spec, 0, sizeof(*spec));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,process_system.c,abi_process_spec_create,2211,*,memset(,,0,"memset(spec, 0, sizeof(*spec));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,process_system.c,abi_process_spec_destroy,2234,*,memset(,,0,"memset(spec, 0, sizeof(*spec));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,renderer_session.c,renderer_session_init,79,*,memset(,,0,"memset(session, 0, sizeof(*session));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,stdlib_abi.c,abi_patch_record_i64,1198,*,memset(,,0,"memset(entry, 0, sizeof(*entry));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
70,stdlib_abi.c,abi_fs_builder_append,1523,+,memcpy(,,0,"memcpy(builder->data + builder->length, text, length + 1);",no nearby overflow or range guard | size math feeds allocation or copy sink | sentinel/null byte style increment | pointer or indexed arithmetic
70,stdlib_abi.c,abi_fs_metadata_text,2285,*,malloc(,,0,heap_buffer = (char*)malloc(buffer_size);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow
