type	section	name	path	description
file	core/services	input_system.c	src/core/input_system.c	Canonical input session management: semantic action dispatch, replay trace capture, platform event translation.
file	core/services	graphics_system.c	src/core/graphics_system.c	Catalog-free graphics kernel: buffer management, SPIR-V shader module registration, pipeline state, draw command recording.
file	core/services	renderer_backend.c	src/core/renderer_backend.c	Renderer backend identity and capability descriptors for Vulkan and DirectX 12 targets.
file	core/services	renderer_session.c	src/core/renderer_session.c	Renderer session lifecycle: frame begin/end, resource binding, command submission.
file	core/services	scene.c	src/core/scene.c	Scene graph runtime: stable scene handles, picking/raycast/bounds/visibility queries, transactional mutation requests and receipts, realtime bundle loading.
file	core/services	cuda_runtime.c	src/core/cuda_runtime.c	CUDA PTX dispatch bridge: compute bundle validation, dispatch planning, GPU runtime handoff. Status: degraded, backed by external kain-gpu-runtime.
file	core/services	simd.c	src/core/simd.c	Runtime-published SIMD capability detection and dispatch.
file	core/interop	json.c	src/core/json.c	Native JSON parse/render. Supports null, boolean, integer, float (f64), string, array, object. Linked-list/node-based representation.
file	core/interop	json_benchmark.c	src/core/json_benchmark.c	Performance benchmark for JSON parse/render operations.
file	core/interop	ray_sphere_benchmark.c	src/core/ray_sphere_benchmark.c	Ray-sphere intersection benchmark exercising converge selector and machine_stones timer.
file	core/interop	stdlib_abi.c	src/core/stdlib_abi.c	ABI bridge to Kain stdlib: abi_option_*, abi_result_*, abi_tagged_*, abi_future_*, abi_runtime_init/shutdown/heap_validate, abi_attrition_* checkpoint/progress/result.
file	core/interop	interop_contracts.c	src/core/interop_contracts.c	Neutral shared buffer/image contracts for Python, JS, GPU, and foreign host bridge handoff.
file	core/interop	interop_zero_copy.c	src/core/interop_zero_copy.c	Zero-copy buffer materialization for interop with Python/Rust/Node host environments.
file	core/interop	python_runtime.c	src/core/python_runtime.c	Python bridge base: marshaling, object lifetime, host context management.
file	core/interop	python_runtime_async.c	src/core/python_runtime_async.c	Python async integration: future conversion, event loop interop.
file	core/interop	python_runtime_buffers.c	src/core/python_runtime_buffers.c	Python buffer protocol: NumPy array views, C-contiguity checks.
file	core/interop	python_runtime_gpu.c	src/core/python_runtime_gpu.c	Python GPU bridge: CUDA tensor/materialization contracts.
file	core/interop	python_runtime_region.c	src/core/python_runtime_region.c	Python bridge region caches for buffer and image materialization.
file	core/attrition	attrition.c	src/core/attrition.c	Runtime certification (attrition) harness: tracks RC allocations/frees, heap operations, clock ticks, sleep/millis. Provides checkpoint and result-reporting ABI.
file	core/attrition	reflection.c	src/core/reflection.c	Reflection payload loading and runtime type lookup.
file	core/attrition	host_bridge.c	src/core/host_bridge.c	Plugin and foreign service module integration. Supports registration of modules from Rust, Python, Node, C, Zig against native service registry.
file	core/attrition	cpu.c	src/core/cpu.c	Runtime-published CPU feature detection: x86 vendor strings, AVX/AVX2/AVX-512 gates, logical CPU count, thread identity, affinity controls.
file	platform	platform.c	src/platform/platform.c	Platform capability descriptor system. Defines KainPlatformKind and bitmask of 11 platform services. Win32 supports all 11; Linux/macOS provide core subset.
file	platform	os_system.c	src/platform/os_system.c	OS-level helper functions: environment variable access, executable path resolution, system directory queries.
file	platform	platform_library.c	src/platform/platform_library.c	Raw platform dynamic library loader (dlopen/dlsym/dlclose on POSIX, LoadLibrary/GetProcAddress/FreeLibrary on Windows).
file	platform/win32	kain_win32_app_host.c	src/platform/win32/kain_win32_app_host.c	Win32 application/window host substrate: window class registration, message pump creation/management, window lifecycle.
file	platform/win32	kain_win32_input_host.c	src/platform/win32/kain_win32_input_host.c	Win32 input event translation: WM_KEYDOWN/UP, WM_MOUSEMOVE etc. into Kain input sessions, semantic actions, replay traces.
file	platform/win32	win32_shared.c	src/platform/win32/win32_shared.c	Win32 shared helpers: env var get/set, executable path (GetModuleFileNameA), sidecar path construction, UTF-16<->UTF-8 conversion.
file	platform/win32	crash_handler_win32.c	src/platform/win32/crash_handler_win32.c	Windows Vectored Exception Handler (VEH). Handles ACCESS_VIOLATION, ILLEGAL_INSTRUCTION, DIVIDE_BY_ZERO, STACK_OVERFLOW. x64 frame-pointer-based stack unwinding.
file	platform/linux	crash_handler_linux.c	src/platform/linux/crash_handler_linux.c	Linux signal handler: SIGSEGV, SIGILL, SIGFPE, SIGABRT via sigaction with SA_SIGINFO. siglongjmp-based unwinding, crash table lookup.
file	platform/linux	linux_shared.c	src/platform/linux/linux_shared.c	Linux shared helpers: /proc/self/exe path resolution, /proc/self/cmdline arg discovery, environment helpers.
file	platform/macos	crash_handler_macos.c	src/platform/macos/crash_handler_macos.c	macOS crash handler: SIGSEGV/SIGILL/SIGFPE/SIGABRT via sigaction.
file	platform/macos	macos_shared.c	src/platform/macos/macos_shared.c	macOS shared helpers: _NSGetExecutablePath for binary path, environment helpers.
file	ui/retained	ui_system.c	src/ui/ui_system.c	UI component system: component state management, invalidation tracking, focus routing, event dispatch.
file	ui/retained	ui_system_internal.h	src/ui/ui_system_internal.h	Internal UI system data structures not exposed in the public ABI.
file	ui/retained	ui_runtime.c	src/ui/ui_runtime.c	UI runtime lifecycle: initialization, termination, top-level component tree management.
file	ui/retained	ui_host_adapter.c	src/ui/ui_host_adapter.c	Interface layer between platform window system and Kain UI component tree. Translates platform events into component updates.
file	ui/retained	ui_host_adapter.h	src/ui/ui_host_adapter.h	Minimal host adapter interface header.
file	ui/retained	ui_hot_reload.c	src/ui/ui_hot_reload.c	UI hot-reload support: monitors compiled UI bundles for changes, triggers seamless component swaps.
file	ui/retained	ui_compiled_bundle.c	src/ui/ui_compiled_bundle.c	Loads and validates compiled UI bundle payloads (pre-compiled component trees from Kain compiler).
file	ui/retained	ui_color.c	src/ui/ui_color.c	Color parsing (#RGB, #RRGGBB, #RRGGBBAA, rgb, rgba, ~34 named), Z3-proven div255_fast alpha blending, opacity multiplication.
file	ui/retained	ui_layout.c	src/ui/ui_layout.c	Node tree layout engine: direction-aware child distribution, padding/spacing, dirty-flag caching (Z3-proven ~51x speedup), sibling-linked child enumeration (Z3-proven ~4000x speedup).
file	ui/retained	ui_renderer.c	src/ui/ui_renderer.c	Software framebuffer renderer: walks retained-mode node tree, rasterizes fill/border/rounded-rect/opacity to uint32_t* pixel buffer. Z3-proven branchless clamp, dual-pixel fill, corner falloff.
file	ui/retained	native_ui_surface.c	src/ui/native_ui_surface.c	KainComponentSurface vtable implementation for native_ui surface. Reconciles by stable key, persists state on hidden __kain_state_root node.
file	ui/kain	kain_geometry.h	src/ui/kain/kain_geometry.h	Primitive geometry types: kainRect, kainPoint, kainSize, kainMatrix (2D affine), kainColor (float RGBA). Inline helpers for rect ops, color conversion, lerp, matrix transform.
file	ui/kain	kain_surface.h	src/ui/kain/kain_surface.h	GPU surface abstraction: kainSurface, kainSurfaceKind enum (SOFTWARE/VULKAN/D3D12/WEBGPU). Phase 1 only SOFTWARE active; lifecycle create/destroy/resize.
file	ui/kain	kain_host.h	src/ui/kain/kain_host.h	Platform-agnostic host interface vtable (kainHostVTable): 15 slots for identification, window lifecycle, message pump, framebuffer, present, clipboard, cursor, GPU surface extension.
file	ui/kain	kain_host_win32.c	src/ui/kain/kain_host_win32.c	Win32 GDI host backend: KainWin32UI class, CreateDIBSection DIB framebuffer, PeekMessage/DispatchMessage pump, BitBlt present, DPI scaling, OS event bridging.
file	ui/kain	kain_input.h	src/ui/kain/kain_input.h	Input pipeline header: KainInputEventKind enum (KEY_DOWN/UP, TEXT, POINTER_*, FOCUS_*, DRAG, DROP), KainInputEvent struct.
file	ui/kain	kain_input.c	src/ui/kain/kain_input.c	Input pipeline implementation: thin typed wrapper over abi_ui_push_event/abi_ui_poll_event ring buffer, hit-test via abi_ui_hit_test.
file	ui/kain	kain_font.h	src/ui/kain/kain_font.h	Font subsystem header: font load/measure/glyph interface, KainFontMetrics struct.
file	ui/kain	kain_font.c	src/ui/kain/kain_font.c	Font subsystem: load from raw TTF bytes, file path, or platform default. Platform search order for Windows/macOS/Linux. KAIN_UI_FONT env var override. Returns 0 on failure (no crash).
file	ui/kain	kain_compositor.h	src/ui/kain/kain_compositor.h	Damage region tracker header: compositor lifecycle, damage_rect, damaged_region, has_damage.
file	ui/kain	kain_compositor.c	src/ui/kain/kain_compositor.c	Damage region tracker: accumulates up to 64 dirty rectangles per frame, bounding union for partial redraws, frame-bounded lifecycle.
file	ui/kain	kain_render_software.h	src/ui/kain/kain_render_software.h	Software draw primitives header: 16 primitive signatures + clip stack (max 16) + transform stack (max 16).
file	ui/kain	kain_render_software.c	src/ui/kain/kain_render_software.c	Backend-agnostic software draw primitives: fill/stroke/rounded-rect/circle/gradient/blit/blur/text. Strict-aliasing-safe. Z3-proven branchless clamp, dual-pixel fill, corner falloff.
file	gpu/shim	vulkan_surface_shim.c	src/core/vulkan_surface_shim.c	Vulkan runtime shim: capability flag, env-var resolution, error/telemetry globals, KainComponentSurface vtable shape declaration, dlopen of libkain-vulkan-abi.so.
file	gpu/shim	d3d12_surface_shim.c	src/core/d3d12_surface_shim.c	D3D12 runtime shim: capability flag, env-var resolution, error/telemetry globals, KainComponentSurface vtable shape declaration, dlopen of libkain-d3d12-abi.dll.
file	gpu/shim	webgpu_surface_shim.c	src/core/webgpu_surface_shim.c	WebGPU runtime shim: capability flag, env-var resolution, error/telemetry globals, KainComponentSurface vtable shape declaration, dlopen of libkain-webgpu-abi.so.
file	gpu/abi	libkain-vulkan-abi.so	extras/vulkan-abi/	Vulkan ABI library: 43+ Vulkan PFNs dynamically resolved, per-platform WSI surfaces, swapchain lifecycle, fence/semaphore submission, 18 KainComponentSurface vtable slots, KainVulkanPfnTable (57 PFNs).
file	gpu/abi	libkain-d3d12-abi.dll	extras/d3d12-abi/	D3D12 ABI library: Direct3D 12 backend, native mesh shader pipeline (ShaderStage::Mesh + ShaderStage::Task), Windows-only.
file	gpu/abi	libkain-webgpu-abi.so	extras/webgpu-abi/	WebGPU ABI library (~870 lines): WebGPU via wgpu-native, WASM browser fallback, WGSL subgroup intrinsics via Kain subgroup keyword.
file	test/cbmc	check_arena.c	test/cbmc/check_arena.c	CBMC arena harness: 833 assertions, all pass. Proves arena init preserves bounds, frame marker/release restores state, alloc_lo/alloc_hi non-overlap.
file	test/cbmc	check_actor.c	test/cbmc/check_actor.c	CBMC actor harness: 5,676 assertions, all pass. Proves queue enqueue/dequeue integrity, FIFO, capacity, NULL safety, OOM, mailbox invariants.
file	test/cbmc	check_crash_handler.c	test/cbmc/check_crash_handler.c	CBMC crash handler harness: crash table lookup edge cases.
file	test/cbmc	check_crash_handler_linux.c	test/cbmc/check_crash_handler_linux.c	CBMC Linux signal handler harness: signal registration verification.
file	test/scripts	run_pipeline.py	test/scripts/run_pipeline.py	Python pipeline orchestrator: function catalog extraction, CBMC verification (WSL-first, native fallback), ESBMC integration, Z3 cross-referencing.
file	test/scripts	_common.py	test/scripts/_common.py	Shared paths and helpers for test pipeline scripts.
file	build	Makefile	Makefile	Fast local dev build (clang, C11, -Wall -Wextra). Targets: all, lib, shared, test, fuzz, stress, clean. Supports ASan+UBSan+TSan.
file	build	native_core_runtime.toml	runtime/native_core_runtime.toml	Canonical runtime manifest for production Bazel builds. Lists all sources, platform-conditioned files, defines, link libraries, versions, ~50 registered services.
file	build	native_runtime.toml	runtime/native_runtime.toml	Compatibility mirror of canonical manifest for older discovery paths.
file	build	native_attrition_runtime.toml	runtime/native_attrition_runtime.toml	Runtime variant for the attrition (certification) pipeline.
file	build	native_async_benchmark_runtime.toml	runtime/native_async_benchmark_runtime.toml	Runtime variant for async subsystem benchmarks.
file	build	runtime_manifest_data.bzl	runtime/runtime_manifest_data.bzl	Auto-generated Bazel manifest (by tools/bazel/sync_native_runtime_builds.py) driving production builds.
file	build	native_runtime_rules.bzl	runtime/native_runtime_rules.bzl	Helper macros for Bazel builds including platform_select() for platform-conditioned resolution.
file	root	SERVICE_TABLE_MAPPING.md	SERVICE_TABLE_MAPPING.md	Service table mapping documentation.
file	root	kain_prefix_rename_manifest.json	kain_prefix_rename_manifest.json	Systematic renaming manifest for all public symbols with kain_ prefix.
file	root	kain_prefixed_symbol_inventory.json	kain_prefixed_symbol_inventory.json	Inventory of prefixed symbols.
file	root	kain_prefixed_symbol_inventory.md	kain_prefixed_symbol_inventory.md	Documentation of prefixed symbols inventory.
file	z3	z3.toml	src/core/z3/z3.toml	Z3 configuration file.
file	z3	map.json	src/core/map.json	File-to-description mapping for core files.
header	base	base.h	include/base.h	Core types: RcHeader, KainArray, KainMap, MapEntry, MessageQueue, MessageNode, ThreadArgs. Portable C11 shims. KAIN_LIKELY/UNLIKELY macros. RC magic constants.
header	actor	actor.h	include/actor.h	Full actor ABI: KainActorId, lifecycle, mailbox, supervision, monitors, links, registry, reply ports, scheduler snapshots.
header	arena	arena.h	include/arena.h	Arena allocator: KainArenaId, KainMemType, frame marker API.
header	async	async.h	include/async.h	Async runtime: KainTaskId, KainTimerId, futures, poll, wake, task graph.
header	attrition	attrition.h	include/attrition.h	Attrition certification: RC tracking, heap validation, checkpoint ABI.
header	batch_queue	batch_queue.h	include/batch_queue.h	Batched message queue.
header	bitfield	bitfield.h	include/bitfield.h	Bit-level field access.
header	buddy	buddy.h	include/buddy.h	Buddy allocator.
header	compatibility	compatibility.h	include/compatibility.h	Hot reload, version migration.
header	contract	contract.h	include/contract.h	Runtime contract loading.
header	converge	converge.h	include/converge.h	Multi-lane dispatch: abi_converge_select_lane_for_key, telemetry.
header	cpu	cpu.h	include/cpu.h	CPU capability detection.
header	crash_handler	crash_handler.h	include/crash_handler.h	Crash forensics: KainCrashEntry, __kain_crash_handler_init, lookup, render.
header	cuda_runtime	cuda_runtime.h	include/cuda_runtime.h	CUDA PTX dispatch.
header	deferred_free	deferred_free.h	include/deferred_free.h	Deferred deallocation.
header	diagnostics	diagnostics.h	include/diagnostics.h	Structured diagnostics: KainDiagnostic, collector, startup validation.
header	entangle	entangle.h	include/entangle.h	World entangle registry.
header	fanout	fanout.h	include/fanout.h	Shared-memory fanout.
header	fixup	fixup.h	include/fixup.h	Relocation fixup + known-ref tracking.
header	graphics_bundle	graphics_bundle.h	include/graphics_bundle.h	Graphics bundle metadata.
header	graphics_system	graphics_system.h	include/graphics_system.h	Raw graphics kernel: buffers, shaders, pipelines.
header	handle	handle.h	include/handle.h	KainRuntimeHandle generation-tagged handle table.
header	host_bridge	host_bridge.h	include/host_bridge.h	Plugin and foreign runtime module integration.
header	input_system	input_system.h	include/input_system.h	Input session management.
header	interop_contracts	interop_contracts.h	include/interop_contracts.h	Shared buffer/image contracts.
header	interop_zero_copy	interop_zero_copy.h	include/interop_zero_copy.h	Zero-copy interop.
header	json	json.h	include/json.h	JSON parse/render.
header	lru	lru.h	include/lru.h	LRU cache.
header	machine_stones	machine_stones.h	include/machine_stones.h	Axiom, pulse, shatter, teleport runtime.
header	memory	memory.h	include/memory.h	Low-level memory helpers: bind, load/store, atomic, alloc.
header	net_system	net_system.h	include/net_system.h	Networking: TCP, HTTP.
header	os_system	os_system.h	include/os_system.h	OS-level helpers.
header	ownership	ownership.h	include/ownership.h	Collapse/observe/decay state machine.
header	platform	platform.h	include/platform.h	Platform capability descriptors.
header	platform_library	platform_library.h	include/platform_library.h	Dynamic library loader.
header	process_system	process_system.h	include/process_system.h	Child process management.
header	profile	profile.h	include/profile.h	Profiling zones.
header	realtime	realtime.h	include/realtime.h	Realtime bundle loading.
header	reflection	reflection.h	include/reflection.h	Reflection payload loading.
header	renderer_backend	renderer_backend.h	include/renderer_backend.h	Vulkan/D3D12 backend descriptors.
header	renderer_session	renderer_session.h	include/renderer_session.h	Render session lifecycle.
header	runtime_tiers	runtime_tiers.h	include/runtime_tiers.h	Compile-time control tiers.
header	scene	scene.h	include/scene.h	Scene graph, queries, mutations.
header	services	services.h	include/services.h	Service registry.
header	simd	simd.h	include/simd.h	SIMD capability detection.
header	stdlib_abi	stdlib_abi.h	include/stdlib_abi.h	ABI bridge for Option, Result, Future, attrition.
header	ui_bundle	ui_bundle.h	include/ui_bundle.h	UI bundle loading.
header	ui_hot_reload	ui_hot_reload.h	include/ui_hot_reload.h	UI hot-reload.
header	ui_runtime	ui_runtime.h	include/ui_runtime.h	UI runtime lifecycle.
header	ui_system	ui_system.h	include/ui_system.h	UI component system.
header	union	union.h	include/union.h	Union type access.
header	kain_geometry	kain_geometry.h	include/kain_geometry.h	NEW - Phase 1 substrate: kainRect, kainPoint, kainSize, kainMatrix, kainColor, inline ops.
header	kain_surface	kain_surface.h	include/kain_surface.h	NEW - Phase 1 substrate: GPU surface abstraction with SOFTWARE/VULKAN/D3D12/WEBGPU kinds.
header	kain_host	kain_host.h	include/kain_host.h	NEW - Phase 1 substrate: kainHostVTable + kainHostPlatform enum.
header	kain_input	kain_input.h	include/kain_input.h	NEW - Phase 1 substrate: typed input pipeline, KainInputEvent, KainInputEventKind.
header	kain_font	kain_font.h	include/kain_font.h	NEW - Phase 1 substrate: font load/glyph/measure/metrics.
header	kain_compositor	kain_compositor.h	include/kain_compositor.h	NEW - Phase 1 substrate: damage region tracker (64-rect accumulator, bounding union).
